Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 29,2022-09-23 10:01:48,2022-09-23 17:59:48,0 days 07:58:00,2022-09-23,morning,478.0
Staff 29,2022-09-24 11:12:52,2022-09-24 15:11:46,0 days 03:58:54,2022-09-24,morning,238.9
Staff 29,2022-09-26 09:24:26,2022-09-26 17:37:02,0 days 08:12:36,2022-09-26,morning,492.6
Staff 29,2022-09-27 09:57:13,2022-09-27 17:02:36,0 days 07:05:23,2022-09-27,morning,425.3833333333333
Staff 29,2022-09-28 10:06:31,2022-09-28 17:13:36,0 days 07:07:05,2022-09-28,morning,427.0833333333333
Staff 29,2022-09-29 09:46:11,2022-09-29 16:41:08,0 days 06:54:57,2022-09-29,morning,414.95
Staff 3,2022-09-27 11:34:31,2022-09-27 17:58:30,0 days 06:23:59,2022-09-27,morning,383.98333333333335
Staff 3,2022-09-28 10:20:13,2022-09-28 17:13:14,0 days 06:53:01,2022-09-28,morning,413.01666666666665
Staff 3,2022-09-29 10:08:07,2022-09-29 17:54:21,0 days 07:46:14,2022-09-29,morning,466.23333333333335
Staff 30,2022-09-07 10:10:01,2022-09-07 17:29:08,0 days 07:19:07,2022-09-07,morning,439.1166666666667
Staff 30,2022-09-08 10:13:17,2022-09-08 17:57:42,0 days 07:44:25,2022-09-08,morning,464.4166666666667
Staff 30,2022-09-09 10:27:59,2022-09-09 16:54:27,0 days 06:26:28,2022-09-09,morning,386.46666666666664
Staff 30,2022-09-11 13:27:15,2022-09-11 17:57:24,0 days 04:30:09,2022-09-11,afternoon,270.15
Staff 30,2022-09-12 09:08:31,2022-09-12 16:53:38,0 days 07:45:07,2022-09-12,morning,465.1166666666667
Staff 30,2022-09-13 10:03:35,2022-09-13 16:21:36,0 days 06:18:01,2022-09-13,morning,378.01666666666665
Staff 30,2022-09-14 10:16:22,2022-09-14 16:32:56,0 days 06:16:34,2022-09-14,morning,376.56666666666666
Staff 30,2022-09-15 10:01:00,2022-09-15 17:22:38,0 days 07:21:38,2022-09-15,morning,441.6333333333333
Staff 30,2022-09-16 09:58:24,2022-09-16 16:52:05,0 days 06:53:41,2022-09-16,morning,413.68333333333334
Staff 30,2022-09-20 10:01:35,2022-09-20 17:06:19,0 days 07:04:44,2022-09-20,morning,424.73333333333335
Staff 30,2022-09-21 09:37:21,2022-09-21 17:22:15,0 days 07:44:54,2022-09-21,morning,464.9
Staff 30,2022-09-22 09:46:44,2022-09-22 17:59:50,0 days 08:13:06,2022-09-22,morning,493.1
Staff 30,2022-09-23 09:05:33,2022-09-23 17:51:32,0 days 08:45:59,2022-09-23,morning,525.9833333333333
Staff 30,2022-09-26 10:05:43,2022-09-26 17:37:17,0 days 07:31:34,2022-09-26,morning,451.56666666666666
Staff 30,2022-09-27 09:57:15,2022-09-27 16:35:58,0 days 06:38:43,2022-09-27,morning,398.71666666666664
Staff 30,2022-09-28 10:40:37,2022-09-28 13:50:57,0 days 03:10:20,2022-09-28,morning,190.33333333333334
Staff 30,2022-09-29 10:08:00,2022-09-29 16:37:25,0 days 06:29:25,2022-09-29,morning,389.4166666666667
Staff 31,2022-09-07 09:38:00,2022-09-07 17:28:45,0 days 07:50:45,2022-09-07,morning,470.75
Staff 31,2022-09-08 10:13:10,2022-09-08 17:55:55,0 days 07:42:45,2022-09-08,morning,462.75
Staff 31,2022-09-09 09:17:26,2022-09-09 16:13:52,0 days 06:56:26,2022-09-09,morning,416.43333333333334
Staff 31,2022-09-12 09:52:56,2022-09-12 16:49:35,0 days 06:56:39,2022-09-12,morning,416.65
Staff 31,2022-09-13 10:03:51,2022-09-13 16:44:45,0 days 06:40:54,2022-09-13,morning,400.9
Staff 31,2022-09-14 09:07:08,2022-09-14 16:32:54,0 days 07:25:46,2022-09-14,morning,445.76666666666665
Staff 31,2022-09-15 10:01:51,2022-09-15 16:47:09,0 days 06:45:18,2022-09-15,morning,405.3
Staff 31,2022-09-16 10:01:45,2022-09-16 16:33:48,0 days 06:32:03,2022-09-16,morning,392.05
Staff 31,2022-09-20 10:16:50,2022-09-20 17:06:05,0 days 06:49:15,2022-09-20,morning,409.25
Staff 31,2022-09-21 09:37:16,2022-09-21 17:19:37,0 days 07:42:21,2022-09-21,morning,462.35
Staff 31,2022-09-22 10:00:16,2022-09-22 17:12:18,0 days 07:12:02,2022-09-22,morning,432.03333333333336
Staff 31,2022-09-23 10:05:02,2022-09-23 17:38:14,0 days 07:33:12,2022-09-23,morning,453.2
Staff 31,2022-09-26 10:09:53,2022-09-26 17:23:22,0 days 07:13:29,2022-09-26,morning,433.48333333333335
Staff 31,2022-09-27 09:50:22,2022-09-27 16:52:29,0 days 07:02:07,2022-09-27,morning,422.1166666666667
Staff 31,2022-09-28 10:12:18,2022-09-28 17:13:42,0 days 07:01:24,2022-09-28,morning,421.4
Staff 31,2022-09-29 10:08:01,2022-09-29 17:09:50,0 days 07:01:49,2022-09-29,morning,421.81666666666666
Staff 32,2022-09-07 09:56:21,2022-09-07 17:23:32,0 days 07:27:11,2022-09-07,morning,447.18333333333334
Staff 32,2022-09-08 10:13:56,2022-09-08 17:59:46,0 days 07:45:50,2022-09-08,morning,465.8333333333333
Staff 32,2022-09-09 09:04:22,2022-09-09 16:13:49,0 days 07:09:27,2022-09-09,morning,429.45
Staff 32,2022-09-10 14:21:04,2022-09-10 17:14:02,0 days 02:52:58,2022-09-10,afternoon,172.96666666666667
Staff 32,2022-09-11 09:47:56,2022-09-11 15:21:04,0 days 05:33:08,2022-09-11,morning,333.1333333333333
Staff 32,2022-09-12 09:32:16,2022-09-12 17:51:28,0 days 08:19:12,2022-09-12,morning,499.2
Staff 32,2022-09-13 09:55:40,2022-09-13 16:45:58,0 days 06:50:18,2022-09-13,morning,410.3
Staff 32,2022-09-14 09:56:30,2022-09-14 17:54:35,0 days 07:58:05,2022-09-14,morning,478.0833333333333
Staff 32,2022-09-15 09:38:16,2022-09-15 17:10:01,0 days 07:31:45,2022-09-15,morning,451.75
Staff 32,2022-09-16 10:01:47,2022-09-16 16:52:00,0 days 06:50:13,2022-09-16,morning,410.21666666666664
Staff 32,2022-09-20 10:14:18,2022-09-20 16:55:10,0 days 06:40:52,2022-09-20,morning,400.8666666666667
Staff 32,2022-09-21 09:37:14,2022-09-21 17:19:17,0 days 07:42:03,2022-09-21,morning,462.05
Staff 32,2022-09-22 09:46:44,2022-09-22 17:13:09,0 days 07:26:25,2022-09-22,morning,446.4166666666667
Staff 32,2022-09-23 10:00:47,2022-09-23 17:59:50,0 days 07:59:03,2022-09-23,morning,479.05
Staff 32,2022-09-26 10:04:16,2022-09-26 17:37:07,0 days 07:32:51,2022-09-26,morning,452.85
Staff 32,2022-09-27 09:58:06,2022-09-27 16:39:50,0 days 06:41:44,2022-09-27,morning,401.73333333333335
Staff 32,2022-09-29 09:57:56,2022-09-29 17:53:58,0 days 07:56:02,2022-09-29,morning,476.03333333333336
Staff 33,2022-09-07 09:38:00,2022-09-07 17:29:03,0 days 07:51:03,2022-09-07,morning,471.05
Staff 33,2022-09-08 10:12:25,2022-09-08 16:48:45,0 days 06:36:20,2022-09-08,morning,396.3333333333333
Staff 33,2022-09-09 09:00:57,2022-09-09 16:20:55,0 days 07:19:58,2022-09-09,morning,439.96666666666664
Staff 33,2022-09-12 13:36:09,2022-09-12 16:52:02,0 days 03:15:53,2022-09-12,afternoon,195.88333333333333
Staff 33,2022-09-13 09:57:36,2022-09-13 15:30:46,0 days 05:33:10,2022-09-13,morning,333.1666666666667
Staff 33,2022-09-14 09:56:30,2022-09-14 16:29:15,0 days 06:32:45,2022-09-14,morning,392.75
Staff 33,2022-09-15 10:01:55,2022-09-15 16:28:15,0 days 06:26:20,2022-09-15,morning,386.3333333333333
Staff 33,2022-09-16 10:01:27,2022-09-16 16:51:56,0 days 06:50:29,2022-09-16,morning,410.48333333333335
Staff 33,2022-09-20 10:01:17,2022-09-20 17:18:25,0 days 07:17:08,2022-09-20,morning,437.1333333333333
Staff 33,2022-09-21 10:13:01,2022-09-21 17:48:59,0 days 07:35:58,2022-09-21,morning,455.96666666666664
Staff 33,2022-09-22 10:00:25,2022-09-22 17:13:14,0 days 07:12:49,2022-09-22,morning,432.81666666666666
Staff 33,2022-09-23 10:00:46,2022-09-23 17:59:49,0 days 07:59:03,2022-09-23,morning,479.05
Staff 33,2022-09-24 11:12:52,2022-09-24 15:11:45,0 days 03:58:53,2022-09-24,morning,238.88333333333333
Staff 33,2022-09-26 09:24:27,2022-09-26 17:37:15,0 days 08:12:48,2022-09-26,morning,492.8
Staff 33,2022-09-27 09:57:16,2022-09-27 17:13:41,0 days 07:16:25,2022-09-27,morning,436.4166666666667
Staff 33,2022-09-28 10:12:23,2022-09-28 17:30:08,0 days 07:17:45,2022-09-28,morning,437.75
Staff 33,2022-09-29 10:08:14,2022-09-29 16:37:39,0 days 06:29:25,2022-09-29,morning,389.4166666666667
Staff 34,2022-09-07 09:53:49,2022-09-07 16:55:00,0 days 07:01:11,2022-09-07,morning,421.18333333333334
Staff 34,2022-09-08 09:59:11,2022-09-08 16:42:43,0 days 06:43:32,2022-09-08,morning,403.53333333333336
Staff 34,2022-09-09 09:17:39,2022-09-09 16:39:35,0 days 07:21:56,2022-09-09,morning,441.93333333333334
Staff 34,2022-09-11 13:30:19,2022-09-11 14:56:31,0 days 01:26:12,2022-09-11,afternoon,86.2
Staff 34,2022-09-12 09:32:03,2022-09-12 17:52:38,0 days 08:20:35,2022-09-12,morning,500.5833333333333
Staff 34,2022-09-13 10:17:39,2022-09-13 17:09:19,0 days 06:51:40,2022-09-13,morning,411.6666666666667
Staff 34,2022-09-14 09:56:26,2022-09-14 17:58:35,0 days 08:02:09,2022-09-14,morning,482.15
Staff 34,2022-09-15 09:04:06,2022-09-15 16:28:15,0 days 07:24:09,2022-09-15,morning,444.15
Staff 34,2022-09-16 10:01:27,2022-09-16 16:39:10,0 days 06:37:43,2022-09-16,morning,397.71666666666664
Staff 34,2022-09-20 09:53:53,2022-09-20 17:05:47,0 days 07:11:54,2022-09-20,morning,431.9
Staff 34,2022-09-21 09:15:55,2022-09-21 17:24:51,0 days 08:08:56,2022-09-21,morning,488.93333333333334
Staff 34,2022-09-22 10:00:13,2022-09-22 17:13:35,0 days 07:13:22,2022-09-22,morning,433.3666666666667
Staff 34,2022-09-23 09:36:30,2022-09-23 17:59:58,0 days 08:23:28,2022-09-23,morning,503.46666666666664
Staff 34,2022-09-26 10:04:01,2022-09-26 17:11:06,0 days 07:07:05,2022-09-26,morning,427.0833333333333
Staff 34,2022-09-27 09:43:37,2022-09-27 17:13:49,0 days 07:30:12,2022-09-27,morning,450.2
Staff 34,2022-09-28 10:32:30,2022-09-28 17:13:36,0 days 06:41:06,2022-09-28,morning,401.1
Staff 34,2022-09-29 10:12:44,2022-09-29 16:46:06,0 days 06:33:22,2022-09-29,morning,393.3666666666667
Staff 35,2022-09-07 10:10:09,2022-09-07 17:10:04,0 days 06:59:55,2022-09-07,morning,419.9166666666667
Staff 35,2022-09-08 09:01:05,2022-09-08 16:48:38,0 days 07:47:33,2022-09-08,morning,467.55
Staff 35,2022-09-09 10:32:33,2022-09-09 17:59:59,0 days 07:27:26,2022-09-09,morning,447.43333333333334
Staff 35,2022-09-11 13:28:01,2022-09-11 13:55:34,0 days 00:27:33,2022-09-11,afternoon,27.55
Staff 35,2022-09-12 09:52:26,2022-09-12 16:54:55,0 days 07:02:29,2022-09-12,morning,422.48333333333335
Staff 35,2022-09-13 09:57:01,2022-09-13 17:12:21,0 days 07:15:20,2022-09-13,morning,435.3333333333333
Staff 35,2022-09-14 09:18:21,2022-09-14 16:41:42,0 days 07:23:21,2022-09-14,morning,443.35
Staff 35,2022-09-15 09:07:59,2022-09-15 16:23:45,0 days 07:15:46,2022-09-15,morning,435.76666666666665
Staff 35,2022-09-16 10:01:32,2022-09-16 16:35:05,0 days 06:33:33,2022-09-16,morning,393.55
Staff 35,2022-09-20 10:15:21,2022-09-20 17:18:44,0 days 07:03:23,2022-09-20,morning,423.3833333333333
Staff 35,2022-09-21 10:13:02,2022-09-21 17:22:30,0 days 07:09:28,2022-09-21,morning,429.46666666666664
Staff 35,2022-09-22 09:06:50,2022-09-22 17:11:11,0 days 08:04:21,2022-09-22,morning,484.35
Staff 35,2022-09-23 10:10:43,2022-09-23 17:59:54,0 days 07:49:11,2022-09-23,morning,469.18333333333334
Staff 35,2022-09-24 12:23:49,2022-09-24 17:53:16,0 days 05:29:27,2022-09-24,morning,329.45
Staff 35,2022-09-25 09:25:45,2022-09-25 17:48:39,0 days 08:22:54,2022-09-25,morning,502.9
Staff 35,2022-09-26 09:15:34,2022-09-26 17:37:07,0 days 08:21:33,2022-09-26,morning,501.55
Staff 35,2022-09-27 09:07:58,2022-09-27 16:41:14,0 days 07:33:16,2022-09-27,morning,453.26666666666665
Staff 35,2022-09-28 10:12:17,2022-09-28 14:00:30,0 days 03:48:13,2022-09-28,morning,228.21666666666667
Staff 35,2022-09-29 10:08:00,2022-09-29 17:09:46,0 days 07:01:46,2022-09-29,morning,421.76666666666665
Staff 5,2022-09-27 11:34:34,2022-09-27 16:49:43,0 days 05:15:09,2022-09-27,morning,315.15
Staff 5,2022-09-28 09:00:19,2022-09-28 12:24:17,0 days 03:23:58,2022-09-28,morning,203.96666666666667
Staff 5,2022-09-29 10:08:15,2022-09-29 17:09:58,0 days 07:01:43,2022-09-29,morning,421.71666666666664
Staff 6,2022-09-27 11:34:56,2022-09-27 16:41:19,0 days 05:06:23,2022-09-27,morning,306.3833333333333
Staff 6,2022-09-28 10:52:55,2022-09-28 17:26:55,0 days 06:34:00,2022-09-28,morning,394.0
Staff 6,2022-09-29 10:20:24,2022-09-29 17:10:11,0 days 06:49:47,2022-09-29,morning,409.78333333333336
Staff 7,2022-09-27 11:35:05,2022-09-27 16:30:31,0 days 04:55:26,2022-09-27,morning,295.43333333333334
Staff 7,2022-09-28 10:31:02,2022-09-28 17:15:54,0 days 06:44:52,2022-09-28,morning,404.8666666666667
Staff 7,2022-09-29 10:07:58,2022-09-29 17:09:54,0 days 07:01:56,2022-09-29,morning,421.93333333333334
Staff 8,2022-09-27 11:35:03,2022-09-27 17:36:35,0 days 06:01:32,2022-09-27,morning,361.53333333333336
Staff 8,2022-09-28 10:22:02,2022-09-28 17:13:41,0 days 06:51:39,2022-09-28,morning,411.65
Staff 8,2022-09-29 09:07:04,2022-09-29 17:23:12,0 days 08:16:08,2022-09-29,morning,496.1333333333333
Staff 9,2022-09-27 11:36:55,2022-09-27 17:58:33,0 days 06:21:38,2022-09-27,morning,381.6333333333333
Staff 9,2022-09-28 10:19:47,2022-09-28 16:05:22,0 days 05:45:35,2022-09-28,morning,345.5833333333333
Staff 9,2022-09-29 10:20:27,2022-09-29 17:31:22,0 days 07:10:55,2022-09-29,morning,430.9166666666667
