Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 10,2022-09-27 11:35:27,2022-09-27 17:13:27,0 days 05:38:00,2022-09-27,morning,338.0
Staff 10,2022-09-28 09:28:03,2022-09-28 13:10:26,0 days 03:42:23,2022-09-28,morning,222.38333333333333
Staff 10,2022-09-29 10:18:56,2022-09-29 17:09:47,0 days 06:50:51,2022-09-29,morning,410.85
Staff 16,2022-09-27 11:36:25,2022-09-27 17:31:28,0 days 05:55:03,2022-09-27,morning,355.05
Staff 16,2022-09-28 10:19:47,2022-09-28 15:06:30,0 days 04:46:43,2022-09-28,morning,286.71666666666664
Staff 16,2022-09-29 10:08:05,2022-09-29 17:09:59,0 days 07:01:54,2022-09-29,morning,421.9
Staff 17,2022-09-27 11:35:48,2022-09-27 17:13:54,0 days 05:38:06,2022-09-27,morning,338.1
Staff 17,2022-09-28 10:20:14,2022-09-28 17:14:27,0 days 06:54:13,2022-09-28,morning,414.21666666666664
Staff 17,2022-09-29 09:09:01,2022-09-29 17:31:22,0 days 08:22:21,2022-09-29,morning,502.35
Staff 18,2022-09-27 11:36:36,2022-09-27 17:13:43,0 days 05:37:07,2022-09-27,morning,337.1166666666667
Staff 18,2022-09-28 10:12:17,2022-09-28 17:53:15,0 days 07:40:58,2022-09-28,morning,460.96666666666664
Staff 18,2022-09-29 09:46:12,2022-09-29 16:31:57,0 days 06:45:45,2022-09-29,morning,405.75
Staff 19,2022-09-14 10:35:06,2022-09-14 16:44:21,0 days 06:09:15,2022-09-14,morning,369.25
Staff 19,2022-09-15 09:08:54,2022-09-15 17:59:14,0 days 08:50:20,2022-09-15,morning,530.3333333333334
Staff 19,2022-09-16 09:22:05,2022-09-16 15:55:59,0 days 06:33:54,2022-09-16,morning,393.9
Staff 19,2022-09-17 09:00:05,2022-09-17 17:58:35,0 days 08:58:30,2022-09-17,morning,538.5
Staff 19,2022-09-18 09:00:18,2022-09-18 17:59:56,0 days 08:59:38,2022-09-18,morning,539.6333333333333
Staff 19,2022-09-19 09:00:28,2022-09-19 17:57:39,0 days 08:57:11,2022-09-19,morning,537.1833333333333
Staff 19,2022-09-20 09:00:06,2022-09-20 17:58:40,0 days 08:58:34,2022-09-20,morning,538.5666666666667
Staff 19,2022-09-21 09:02:02,2022-09-21 17:52:27,0 days 08:50:25,2022-09-21,morning,530.4166666666666
Staff 19,2022-09-22 09:48:02,2022-09-22 15:40:10,0 days 05:52:08,2022-09-22,morning,352.1333333333333
Staff 19,2022-09-23 14:31:01,2022-09-23 14:59:47,0 days 00:28:46,2022-09-23,afternoon,28.766666666666666
Staff 19,2022-09-26 10:39:15,2022-09-26 17:37:17,0 days 06:58:02,2022-09-26,morning,418.03333333333336
Staff 19,2022-09-27 09:43:37,2022-09-27 17:56:28,0 days 08:12:51,2022-09-27,morning,492.85
Staff 19,2022-09-28 10:12:31,2022-09-28 17:15:54,0 days 07:03:23,2022-09-28,morning,423.3833333333333
Staff 19,2022-09-29 10:17:25,2022-09-29 16:37:38,0 days 06:20:13,2022-09-29,morning,380.21666666666664
Staff 22,2022-09-27 11:36:51,2022-09-27 16:29:03,0 days 04:52:12,2022-09-27,morning,292.2
Staff 22,2022-09-28 10:21:38,2022-09-28 17:13:11,0 days 06:51:33,2022-09-28,morning,411.55
Staff 22,2022-09-29 10:07:58,2022-09-29 16:47:29,0 days 06:39:31,2022-09-29,morning,399.51666666666665
Staff 26,2022-09-07 10:09:58,2022-09-07 17:42:00,0 days 07:32:02,2022-09-07,morning,452.03333333333336
Staff 26,2022-09-08 10:13:28,2022-09-08 16:37:37,0 days 06:24:09,2022-09-08,morning,384.15
Staff 26,2022-09-09 10:32:40,2022-09-09 17:59:55,0 days 07:27:15,2022-09-09,morning,447.25
Staff 26,2022-09-10 09:33:37,2022-09-10 17:56:59,0 days 08:23:22,2022-09-10,morning,503.3666666666667
Staff 26,2022-09-11 11:31:15,2022-09-11 13:52:48,0 days 02:21:33,2022-09-11,morning,141.55
Staff 26,2022-09-12 09:41:28,2022-09-12 16:55:32,0 days 07:14:04,2022-09-12,morning,434.06666666666666
Staff 26,2022-09-13 09:24:14,2022-09-13 16:22:17,0 days 06:58:03,2022-09-13,morning,418.05
Staff 26,2022-09-14 09:56:28,2022-09-14 16:39:44,0 days 06:43:16,2022-09-14,morning,403.26666666666665
Staff 26,2022-09-15 09:37:10,2022-09-15 17:20:18,0 days 07:43:08,2022-09-15,morning,463.1333333333333
Staff 26,2022-09-16 09:46:13,2022-09-16 16:52:01,0 days 07:05:48,2022-09-16,morning,425.8
Staff 26,2022-09-17 09:01:20,2022-09-17 17:59:59,0 days 08:58:39,2022-09-17,morning,538.65
Staff 26,2022-09-18 09:00:19,2022-09-18 17:59:29,0 days 08:59:10,2022-09-18,morning,539.1666666666666
Staff 26,2022-09-19 09:01:26,2022-09-19 17:54:55,0 days 08:53:29,2022-09-19,morning,533.4833333333333
Staff 26,2022-09-20 09:21:06,2022-09-20 17:28:51,0 days 08:07:45,2022-09-20,morning,487.75
Staff 26,2022-09-21 09:02:52,2022-09-21 17:52:25,0 days 08:49:33,2022-09-21,morning,529.55
Staff 26,2022-09-22 09:45:39,2022-09-22 16:29:54,0 days 06:44:15,2022-09-22,morning,404.25
Staff 26,2022-09-23 10:00:53,2022-09-23 17:54:26,0 days 07:53:33,2022-09-23,morning,473.55
Staff 26,2022-09-26 10:02:36,2022-09-26 17:45:43,0 days 07:43:07,2022-09-26,morning,463.1166666666667
Staff 26,2022-09-27 10:35:19,2022-09-27 16:19:39,0 days 05:44:20,2022-09-27,morning,344.3333333333333
Staff 26,2022-09-28 10:24:10,2022-09-28 17:14:29,0 days 06:50:19,2022-09-28,morning,410.31666666666666
Staff 26,2022-09-29 10:09:21,2022-09-29 17:23:01,0 days 07:13:40,2022-09-29,morning,433.6666666666667
Staff 27,2022-09-07 09:53:28,2022-09-07 16:54:59,0 days 07:01:31,2022-09-07,morning,421.51666666666665
Staff 27,2022-09-08 10:03:32,2022-09-08 16:36:31,0 days 06:32:59,2022-09-08,morning,392.98333333333335
Staff 27,2022-09-09 10:18:27,2022-09-09 16:19:24,0 days 06:00:57,2022-09-09,morning,360.95
Staff 27,2022-09-12 09:58:25,2022-09-12 16:50:44,0 days 06:52:19,2022-09-12,morning,412.31666666666666
Staff 27,2022-09-13 09:59:10,2022-09-13 16:50:10,0 days 06:51:00,2022-09-13,morning,411.0
Staff 27,2022-09-14 09:58:25,2022-09-14 16:31:33,0 days 06:33:08,2022-09-14,morning,393.1333333333333
Staff 27,2022-09-15 10:10:33,2022-09-15 16:43:01,0 days 06:32:28,2022-09-15,morning,392.46666666666664
Staff 27,2022-09-16 10:06:27,2022-09-16 17:08:07,0 days 07:01:40,2022-09-16,morning,421.6666666666667
Staff 28,2022-09-07 10:26:36,2022-09-07 17:00:22,0 days 06:33:46,2022-09-07,morning,393.76666666666665
Staff 28,2022-09-08 10:15:59,2022-09-08 16:48:43,0 days 06:32:44,2022-09-08,morning,392.73333333333335
Staff 28,2022-09-09 09:34:33,2022-09-09 16:25:20,0 days 06:50:47,2022-09-09,morning,410.78333333333336
Staff 28,2022-09-11 13:45:46,2022-09-11 13:56:40,0 days 00:10:54,2022-09-11,afternoon,10.9
Staff 28,2022-09-12 09:32:19,2022-09-12 17:59:58,0 days 08:27:39,2022-09-12,morning,507.65
Staff 28,2022-09-13 09:00:09,2022-09-13 15:41:39,0 days 06:41:30,2022-09-13,morning,401.5
Staff 28,2022-09-14 09:56:25,2022-09-14 16:39:42,0 days 06:43:17,2022-09-14,morning,403.28333333333336
Staff 28,2022-09-15 09:37:08,2022-09-15 16:31:38,0 days 06:54:30,2022-09-15,morning,414.5
Staff 28,2022-09-16 09:20:33,2022-09-16 16:49:54,0 days 07:29:21,2022-09-16,morning,449.35
Staff 28,2022-09-20 10:01:15,2022-09-20 17:18:40,0 days 07:17:25,2022-09-20,morning,437.4166666666667
Staff 28,2022-09-21 09:37:20,2022-09-21 16:56:16,0 days 07:18:56,2022-09-21,morning,438.93333333333334
Staff 28,2022-09-22 10:00:17,2022-09-22 17:12:19,0 days 07:12:02,2022-09-22,morning,432.03333333333336
Staff 28,2022-09-23 10:04:50,2022-09-23 17:12:38,0 days 07:07:48,2022-09-23,morning,427.8
Staff 28,2022-09-26 10:02:42,2022-09-26 17:58:23,0 days 07:55:41,2022-09-26,morning,475.68333333333334
Staff 28,2022-09-27 09:57:14,2022-09-27 16:30:44,0 days 06:33:30,2022-09-27,morning,393.5
Staff 28,2022-09-28 10:12:40,2022-09-28 17:46:19,0 days 07:33:39,2022-09-28,morning,453.65
Staff 28,2022-09-29 10:09:10,2022-09-29 17:50:16,0 days 07:41:06,2022-09-29,morning,461.1
Staff 29,2022-09-07 10:09:50,2022-09-07 17:59:30,0 days 07:49:40,2022-09-07,morning,469.6666666666667
Staff 29,2022-09-08 09:37:01,2022-09-08 16:43:41,0 days 07:06:40,2022-09-08,morning,426.6666666666667
Staff 29,2022-09-09 09:17:33,2022-09-09 17:59:48,0 days 08:42:15,2022-09-09,morning,522.25
Staff 29,2022-09-11 13:39:03,2022-09-11 17:20:43,0 days 03:41:40,2022-09-11,afternoon,221.66666666666666
Staff 29,2022-09-12 09:32:20,2022-09-12 17:13:50,0 days 07:41:30,2022-09-12,morning,461.5
Staff 29,2022-09-13 09:07:58,2022-09-13 17:38:50,0 days 08:30:52,2022-09-13,morning,510.8666666666667
Staff 29,2022-09-14 09:18:20,2022-09-14 16:39:40,0 days 07:21:20,2022-09-14,morning,441.3333333333333
Staff 29,2022-09-15 09:00:01,2022-09-15 17:32:13,0 days 08:32:12,2022-09-15,morning,512.2
Staff 29,2022-09-16 09:02:23,2022-09-16 17:36:18,0 days 08:33:55,2022-09-16,morning,513.9166666666666
Staff 29,2022-09-19 09:00:56,2022-09-19 09:00:58,0 days 00:00:02,2022-09-19,morning,0.03333333333333333
Staff 29,2022-09-20 10:00:54,2022-09-20 17:45:28,0 days 07:44:34,2022-09-20,morning,464.56666666666666
Staff 29,2022-09-21 09:16:17,2022-09-21 17:21:48,0 days 08:05:31,2022-09-21,morning,485.51666666666665
Staff 29,2022-09-22 10:00:17,2022-09-22 16:31:00,0 days 06:30:43,2022-09-22,morning,390.71666666666664
