Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 16,2022-11-01 10:00:54,2022-11-01 17:43:42,0 days 07:42:48,2022-11-01,morning,462.8
Staff 16,2022-11-02 09:57:33,2022-11-02 17:36:17,0 days 07:38:44,2022-11-02,morning,458.73333333333335
Staff 16,2022-11-03 10:10:20,2022-11-03 16:22:49,0 days 06:12:29,2022-11-03,morning,372.48333333333335
Staff 16,2022-11-04 10:16:30,2022-11-04 17:28:07,0 days 07:11:37,2022-11-04,morning,431.6166666666667
Staff 16,2022-11-07 09:47:17,2022-11-07 17:55:56,0 days 08:08:39,2022-11-07,morning,488.65
Staff 16,2022-11-08 09:20:53,2022-11-08 17:57:41,0 days 08:36:48,2022-11-08,morning,516.8
Staff 16,2022-11-09 10:01:26,2022-11-09 17:58:30,0 days 07:57:04,2022-11-09,morning,477.06666666666666
Staff 16,2022-11-10 09:47:53,2022-11-10 17:59:12,0 days 08:11:19,2022-11-10,morning,491.31666666666666
Staff 16,2022-11-11 09:05:40,2022-11-11 17:56:55,0 days 08:51:15,2022-11-11,morning,531.25
Staff 16,2022-11-12 15:14:35,2022-11-12 17:32:15,0 days 02:17:40,2022-11-12,afternoon,137.66666666666666
Staff 16,2022-11-13 10:58:49,2022-11-13 16:53:09,0 days 05:54:20,2022-11-13,morning,354.3333333333333
Staff 16,2022-11-14 09:12:02,2022-11-14 17:59:14,0 days 08:47:12,2022-11-14,morning,527.2
Staff 16,2022-11-15 09:00:43,2022-11-15 16:40:34,0 days 07:39:51,2022-11-15,morning,459.85
Staff 16,2022-11-16 10:21:05,2022-11-16 17:58:12,0 days 07:37:07,2022-11-16,morning,457.1166666666667
Staff 16,2022-11-17 09:00:07,2022-11-17 16:58:09,0 days 07:58:02,2022-11-17,morning,478.03333333333336
Staff 16,2022-11-18 09:27:00,2022-11-18 17:52:59,0 days 08:25:59,2022-11-18,morning,505.98333333333335
Staff 16,2022-11-19 09:01:22,2022-11-19 17:59:53,0 days 08:58:31,2022-11-19,morning,538.5166666666667
Staff 16,2022-11-20 09:00:03,2022-11-20 17:51:53,0 days 08:51:50,2022-11-20,morning,531.8333333333334
Staff 16,2022-11-21 09:08:05,2022-11-21 15:04:46,0 days 05:56:41,2022-11-21,morning,356.68333333333334
Staff 16,2022-11-22 11:18:15,2022-11-22 17:37:07,0 days 06:18:52,2022-11-22,morning,378.8666666666667
Staff 16,2022-11-23 09:01:43,2022-11-23 17:39:15,0 days 08:37:32,2022-11-23,morning,517.5333333333333
Staff 16,2022-11-24 10:12:54,2022-11-24 17:15:06,0 days 07:02:12,2022-11-24,morning,422.2
Staff 16,2022-11-25 10:10:12,2022-11-25 17:53:32,0 days 07:43:20,2022-11-25,morning,463.3333333333333
Staff 16,2022-11-26 09:29:26,2022-11-26 17:56:12,0 days 08:26:46,2022-11-26,morning,506.76666666666665
Staff 16,2022-11-27 09:13:32,2022-11-27 16:40:01,0 days 07:26:29,2022-11-27,morning,446.48333333333335
Staff 16,2022-11-28 09:23:12,2022-11-28 17:52:28,0 days 08:29:16,2022-11-28,morning,509.26666666666665
Staff 16,2022-11-29 10:00:46,2022-11-29 17:52:16,0 days 07:51:30,2022-11-29,morning,471.5
Staff 16,2022-11-30 09:03:33,2022-11-30 17:59:24,0 days 08:55:51,2022-11-30,morning,535.85
Staff 17,2022-11-01 09:03:47,2022-11-01 17:59:51,0 days 08:56:04,2022-11-01,morning,536.0666666666667
Staff 17,2022-11-02 09:00:13,2022-11-02 17:27:57,0 days 08:27:44,2022-11-02,morning,507.73333333333335
Staff 17,2022-11-03 10:10:14,2022-11-03 16:28:26,0 days 06:18:12,2022-11-03,morning,378.2
Staff 17,2022-11-04 10:04:26,2022-11-04 17:13:27,0 days 07:09:01,2022-11-04,morning,429.01666666666665
Staff 17,2022-11-07 09:35:22,2022-11-07 17:48:07,0 days 08:12:45,2022-11-07,morning,492.75
Staff 17,2022-11-08 10:05:20,2022-11-08 17:13:43,0 days 07:08:23,2022-11-08,morning,428.3833333333333
Staff 17,2022-11-09 09:59:31,2022-11-09 17:51:03,0 days 07:51:32,2022-11-09,morning,471.53333333333336
Staff 17,2022-11-10 09:57:32,2022-11-10 11:45:24,0 days 01:47:52,2022-11-10,morning,107.86666666666666
Staff 17,2022-11-11 09:58:57,2022-11-11 17:58:15,0 days 07:59:18,2022-11-11,morning,479.3
Staff 17,2022-11-12 13:32:49,2022-11-12 13:32:52,0 days 00:00:03,2022-11-12,afternoon,0.05
Staff 17,2022-11-14 09:49:18,2022-11-14 17:34:59,0 days 07:45:41,2022-11-14,morning,465.68333333333334
Staff 17,2022-11-15 10:30:38,2022-11-15 17:41:09,0 days 07:10:31,2022-11-15,morning,430.51666666666665
Staff 17,2022-11-16 10:01:20,2022-11-16 17:09:00,0 days 07:07:40,2022-11-16,morning,427.6666666666667
Staff 17,2022-11-17 10:20:21,2022-11-17 16:33:41,0 days 06:13:20,2022-11-17,morning,373.3333333333333
Staff 17,2022-11-18 09:59:18,2022-11-18 16:44:07,0 days 06:44:49,2022-11-18,morning,404.81666666666666
Staff 17,2022-11-21 10:00:01,2022-11-21 16:59:27,0 days 06:59:26,2022-11-21,morning,419.43333333333334
Staff 17,2022-11-22 10:13:08,2022-11-22 16:23:19,0 days 06:10:11,2022-11-22,morning,370.18333333333334
Staff 17,2022-11-23 10:16:27,2022-11-23 15:45:39,0 days 05:29:12,2022-11-23,morning,329.2
Staff 17,2022-11-24 10:25:45,2022-11-24 17:15:02,0 days 06:49:17,2022-11-24,morning,409.28333333333336
Staff 17,2022-11-25 17:07:53,2022-11-25 17:15:31,0 days 00:07:38,2022-11-25,afternoon,7.633333333333334
Staff 17,2022-11-26 09:14:37,2022-11-26 11:15:06,0 days 02:00:29,2022-11-26,morning,120.48333333333333
Staff 17,2022-11-28 10:12:51,2022-11-28 17:52:32,0 days 07:39:41,2022-11-28,morning,459.68333333333334
Staff 17,2022-11-29 10:13:59,2022-11-29 17:46:21,0 days 07:32:22,2022-11-29,morning,452.3666666666667
Staff 17,2022-11-30 09:48:11,2022-11-30 15:50:00,0 days 06:01:49,2022-11-30,morning,361.81666666666666
