Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 18,2022-10-05 09:57:43,2022-10-05 17:35:54,0 days 07:38:11,2022-10-05,morning,458.18333333333334
Staff 18,2022-10-06 09:57:25,2022-10-06 17:34:27,0 days 07:37:02,2022-10-06,morning,457.03333333333336
Staff 18,2022-10-07 09:33:45,2022-10-07 17:42:28,0 days 08:08:43,2022-10-07,morning,488.71666666666664
Staff 18,2022-10-10 10:05:05,2022-10-10 13:36:26,0 days 03:31:21,2022-10-10,morning,211.35
Staff 18,2022-10-11 10:28:37,2022-10-11 15:44:23,0 days 05:15:46,2022-10-11,morning,315.76666666666665
Staff 18,2022-10-12 10:12:31,2022-10-12 17:58:48,0 days 07:46:17,2022-10-12,morning,466.28333333333336
Staff 18,2022-10-13 11:00:56,2022-10-13 17:05:21,0 days 06:04:25,2022-10-13,morning,364.4166666666667
Staff 18,2022-10-14 09:52:13,2022-10-14 17:51:05,0 days 07:58:52,2022-10-14,morning,478.8666666666667
Staff 18,2022-10-15 09:19:42,2022-10-15 17:25:53,0 days 08:06:11,2022-10-15,morning,486.18333333333334
Staff 18,2022-10-16 09:00:38,2022-10-16 17:45:05,0 days 08:44:27,2022-10-16,morning,524.45
Staff 18,2022-10-17 09:20:46,2022-10-17 17:20:24,0 days 07:59:38,2022-10-17,morning,479.6333333333333
Staff 18,2022-10-18 09:56:43,2022-10-18 17:40:45,0 days 07:44:02,2022-10-18,morning,464.03333333333336
Staff 18,2022-10-19 09:04:54,2022-10-19 17:18:39,0 days 08:13:45,2022-10-19,morning,493.75
Staff 18,2022-10-20 09:56:32,2022-10-20 17:31:35,0 days 07:35:03,2022-10-20,morning,455.05
Staff 18,2022-10-21 10:04:09,2022-10-21 17:08:58,0 days 07:04:49,2022-10-21,morning,424.81666666666666
Staff 18,2022-10-24 10:01:00,2022-10-24 17:36:22,0 days 07:35:22,2022-10-24,morning,455.3666666666667
Staff 18,2022-10-25 10:00:53,2022-10-25 17:46:13,0 days 07:45:20,2022-10-25,morning,465.3333333333333
Staff 18,2022-10-26 09:33:46,2022-10-26 17:57:10,0 days 08:23:24,2022-10-26,morning,503.4
Staff 18,2022-10-27 09:34:31,2022-10-27 17:59:58,0 days 08:25:27,2022-10-27,morning,505.45
Staff 18,2022-10-28 09:42:49,2022-10-28 17:14:58,0 days 07:32:09,2022-10-28,morning,452.15
