Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 16,2023-02-01 09:00:42,2023-02-01 17:47:58,0 days 08:47:16,2023-02-01,morning,527.2666666666667
Staff 16,2023-02-02 10:10:36,2023-02-02 17:50:20,0 days 07:39:44,2023-02-02,morning,459.73333333333335
Staff 16,2023-02-03 09:31:24,2023-02-03 17:58:06,0 days 08:26:42,2023-02-03,morning,506.7
Staff 16,2023-02-06 10:02:45,2023-02-06 17:20:43,0 days 07:17:58,2023-02-06,morning,437.96666666666664
Staff 16,2023-02-07 10:05:56,2023-02-07 17:40:53,0 days 07:34:57,2023-02-07,morning,454.95
Staff 16,2023-02-08 09:48:54,2023-02-08 17:36:56,0 days 07:48:02,2023-02-08,morning,468.03333333333336
Staff 16,2023-02-09 10:13:24,2023-02-09 17:09:37,0 days 06:56:13,2023-02-09,morning,416.21666666666664
Staff 16,2023-02-10 09:19:30,2023-02-10 17:59:45,0 days 08:40:15,2023-02-10,morning,520.25
Staff 16,2023-02-13 09:00:03,2023-02-13 17:30:58,0 days 08:30:55,2023-02-13,morning,510.9166666666667
Staff 16,2023-02-14 09:34:19,2023-02-14 17:10:44,0 days 07:36:25,2023-02-14,morning,456.4166666666667
Staff 16,2023-02-15 09:43:29,2023-02-15 17:02:51,0 days 07:19:22,2023-02-15,morning,439.3666666666667
Staff 16,2023-02-16 10:04:08,2023-02-16 17:15:02,0 days 07:10:54,2023-02-16,morning,430.9
Staff 16,2023-02-17 10:03:08,2023-02-17 11:50:53,0 days 01:47:45,2023-02-17,morning,107.75
Staff 16,2023-02-20 09:26:00,2023-02-20 14:18:47,0 days 04:52:47,2023-02-20,morning,292.78333333333336
Staff 17,2023-02-01 10:08:59,2023-02-01 17:36:29,0 days 07:27:30,2023-02-01,morning,447.5
Staff 17,2023-02-02 10:02:33,2023-02-02 17:55:13,0 days 07:52:40,2023-02-02,morning,472.6666666666667
Staff 17,2023-02-03 10:07:13,2023-02-03 17:37:18,0 days 07:30:05,2023-02-03,morning,450.0833333333333
Staff 17,2023-02-06 10:02:38,2023-02-06 17:16:25,0 days 07:13:47,2023-02-06,morning,433.78333333333336
Staff 17,2023-02-07 17:35:09,2023-02-07 17:59:54,0 days 00:24:45,2023-02-07,afternoon,24.75
Staff 17,2023-02-08 10:14:52,2023-02-08 17:40:21,0 days 07:25:29,2023-02-08,morning,445.48333333333335
Staff 17,2023-02-09 10:17:08,2023-02-09 17:52:36,0 days 07:35:28,2023-02-09,morning,455.46666666666664
Staff 17,2023-02-10 09:39:52,2023-02-10 17:48:01,0 days 08:08:09,2023-02-10,morning,488.15
Staff 17,2023-02-13 09:00:37,2023-02-13 17:51:51,0 days 08:51:14,2023-02-13,morning,531.2333333333333
Staff 17,2023-02-14 10:00:52,2023-02-14 17:53:30,0 days 07:52:38,2023-02-14,morning,472.6333333333333
Staff 17,2023-02-15 09:43:16,2023-02-15 16:52:14,0 days 07:08:58,2023-02-15,morning,428.96666666666664
Staff 17,2023-02-16 10:11:20,2023-02-16 17:15:38,0 days 07:04:18,2023-02-16,morning,424.3
Staff 17,2023-02-17 09:30:11,2023-02-17 14:08:31,0 days 04:38:20,2023-02-17,morning,278.3333333333333
