Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 16,2022-12-22 09:09:45,2022-12-22 17:58:41,0 days 08:48:56,2022-12-22,morning,528.9333333333333
Staff 16,2022-12-23 09:20:47,2022-12-23 17:19:52,0 days 07:59:05,2022-12-23,morning,479.0833333333333
Staff 16,2022-12-24 09:05:57,2022-12-24 17:55:32,0 days 08:49:35,2022-12-24,morning,529.5833333333334
Staff 16,2022-12-25 09:01:20,2022-12-25 17:59:19,0 days 08:57:59,2022-12-25,morning,537.9833333333333
Staff 16,2022-12-26 09:03:36,2022-12-26 17:18:31,0 days 08:14:55,2022-12-26,morning,494.9166666666667
Staff 16,2022-12-27 09:00:58,2022-12-27 17:59:44,0 days 08:58:46,2022-12-27,morning,538.7666666666667
Staff 16,2022-12-28 09:01:55,2022-12-28 17:58:06,0 days 08:56:11,2022-12-28,morning,536.1833333333333
Staff 16,2022-12-29 09:02:58,2022-12-29 17:40:00,0 days 08:37:02,2022-12-29,morning,517.0333333333333
Staff 16,2022-12-30 09:08:20,2022-12-30 17:59:01,0 days 08:50:41,2022-12-30,morning,530.6833333333333
Staff 16,2022-12-31 09:00:45,2022-12-31 17:59:56,0 days 08:59:11,2022-12-31,morning,539.1833333333333
Staff 17,2022-12-01 09:23:59,2022-12-01 16:39:17,0 days 07:15:18,2022-12-01,morning,435.3
Staff 17,2022-12-02 17:30:10,2022-12-02 17:30:49,0 days 00:00:39,2022-12-02,afternoon,0.65
Staff 17,2022-12-05 11:10:44,2022-12-05 17:26:40,0 days 06:15:56,2022-12-05,morning,375.93333333333334
Staff 17,2022-12-06 10:13:17,2022-12-06 15:28:41,0 days 05:15:24,2022-12-06,morning,315.4
Staff 17,2022-12-07 10:28:00,2022-12-07 17:54:55,0 days 07:26:55,2022-12-07,morning,446.9166666666667
Staff 17,2022-12-08 10:26:47,2022-12-08 16:43:52,0 days 06:17:05,2022-12-08,morning,377.0833333333333
Staff 17,2022-12-09 10:06:59,2022-12-09 17:02:27,0 days 06:55:28,2022-12-09,morning,415.46666666666664
Staff 17,2022-12-12 09:51:18,2022-12-12 17:47:41,0 days 07:56:23,2022-12-12,morning,476.3833333333333
Staff 17,2022-12-13 09:12:03,2022-12-13 16:57:52,0 days 07:45:49,2022-12-13,morning,465.81666666666666
Staff 17,2022-12-14 10:07:53,2022-12-14 16:51:48,0 days 06:43:55,2022-12-14,morning,403.9166666666667
Staff 17,2022-12-15 09:45:41,2022-12-15 17:22:58,0 days 07:37:17,2022-12-15,morning,457.28333333333336
Staff 17,2022-12-16 12:07:49,2022-12-16 12:18:43,0 days 00:10:54,2022-12-16,morning,10.9
Staff 17,2022-12-19 10:38:24,2022-12-19 17:50:22,0 days 07:11:58,2022-12-19,morning,431.96666666666664
Staff 17,2022-12-20 10:10:24,2022-12-20 16:10:18,0 days 05:59:54,2022-12-20,morning,359.9
Staff 17,2022-12-21 10:13:35,2022-12-21 17:04:06,0 days 06:50:31,2022-12-21,morning,410.51666666666665
Staff 17,2022-12-22 10:12:07,2022-12-22 16:30:14,0 days 06:18:07,2022-12-22,morning,378.1166666666667
Staff 17,2022-12-23 12:47:29,2022-12-23 17:51:48,0 days 05:04:19,2022-12-23,morning,304.31666666666666
Staff 17,2022-12-28 10:18:31,2022-12-28 16:22:50,0 days 06:04:19,2022-12-28,morning,364.31666666666666
Staff 17,2022-12-29 11:13:33,2022-12-29 17:20:28,0 days 06:06:55,2022-12-29,morning,366.9166666666667
Staff 17,2022-12-30 11:36:11,2022-12-30 16:48:19,0 days 05:12:08,2022-12-30,morning,312.1333333333333
Staff 18,2022-12-01 09:33:41,2022-12-01 17:11:10,0 days 07:37:29,2022-12-01,morning,457.48333333333335
Staff 18,2022-12-02 11:01:23,2022-12-02 17:30:18,0 days 06:28:55,2022-12-02,morning,388.9166666666667
Staff 18,2022-12-05 10:53:19,2022-12-05 17:59:44,0 days 07:06:25,2022-12-05,morning,426.4166666666667
Staff 18,2022-12-06 09:02:02,2022-12-06 17:02:44,0 days 08:00:42,2022-12-06,morning,480.7
Staff 18,2022-12-07 09:53:26,2022-12-07 17:14:30,0 days 07:21:04,2022-12-07,morning,441.06666666666666
Staff 18,2022-12-08 10:07:41,2022-12-08 15:53:47,0 days 05:46:06,2022-12-08,morning,346.1
Staff 18,2022-12-09 09:09:28,2022-12-09 17:26:05,0 days 08:16:37,2022-12-09,morning,496.6166666666667
Staff 18,2022-12-12 10:03:13,2022-12-12 17:48:57,0 days 07:45:44,2022-12-12,morning,465.73333333333335
Staff 18,2022-12-13 11:15:58,2022-12-13 17:54:01,0 days 06:38:03,2022-12-13,morning,398.05
Staff 18,2022-12-14 09:00:08,2022-12-14 17:59:33,0 days 08:59:25,2022-12-14,morning,539.4166666666666
Staff 18,2022-12-15 09:28:04,2022-12-15 17:19:10,0 days 07:51:06,2022-12-15,morning,471.1
Staff 18,2022-12-19 11:59:36,2022-12-19 15:32:45,0 days 03:33:09,2022-12-19,morning,213.15
Staff 18,2022-12-22 10:17:42,2022-12-22 17:47:58,0 days 07:30:16,2022-12-22,morning,450.26666666666665
Staff 18,2022-12-23 10:51:50,2022-12-23 17:34:43,0 days 06:42:53,2022-12-23,morning,402.8833333333333
Staff 18,2022-12-24 09:00:06,2022-12-24 17:59:56,0 days 08:59:50,2022-12-24,morning,539.8333333333334
Staff 18,2022-12-25 09:01:50,2022-12-25 17:59:32,0 days 08:57:42,2022-12-25,morning,537.7
Staff 18,2022-12-26 09:00:17,2022-12-26 17:59:57,0 days 08:59:40,2022-12-26,morning,539.6666666666666
Staff 18,2022-12-27 09:00:14,2022-12-27 17:59:48,0 days 08:59:34,2022-12-27,morning,539.5666666666667
Staff 18,2022-12-28 09:00:11,2022-12-28 17:08:37,0 days 08:08:26,2022-12-28,morning,488.43333333333334
Staff 18,2022-12-29 09:00:47,2022-12-29 16:44:48,0 days 07:44:01,2022-12-29,morning,464.01666666666665
Staff 18,2022-12-30 09:01:11,2022-12-30 17:18:06,0 days 08:16:55,2022-12-30,morning,496.9166666666667
Staff 19,2022-12-01 14:31:20,2022-12-01 17:16:08,0 days 02:44:48,2022-12-01,afternoon,164.8
Staff 19,2022-12-02 10:09:34,2022-12-02 17:32:03,0 days 07:22:29,2022-12-02,morning,442.48333333333335
Staff 19,2022-12-05 09:21:59,2022-12-05 17:35:50,0 days 08:13:51,2022-12-05,morning,493.85
Staff 19,2022-12-06 10:20:42,2022-12-06 17:41:06,0 days 07:20:24,2022-12-06,morning,440.4
Staff 19,2022-12-07 09:05:57,2022-12-07 17:56:48,0 days 08:50:51,2022-12-07,morning,530.85
Staff 19,2022-12-08 09:01:02,2022-12-08 17:34:08,0 days 08:33:06,2022-12-08,morning,513.1
Staff 19,2022-12-09 10:06:31,2022-12-09 17:26:46,0 days 07:20:15,2022-12-09,morning,440.25
Staff 19,2022-12-10 09:07:02,2022-12-10 17:32:49,0 days 08:25:47,2022-12-10,morning,505.78333333333336
Staff 19,2022-12-11 09:38:30,2022-12-11 17:56:46,0 days 08:18:16,2022-12-11,morning,498.26666666666665
Staff 19,2022-12-12 09:17:02,2022-12-12 17:47:36,0 days 08:30:34,2022-12-12,morning,510.56666666666666
Staff 19,2022-12-13 09:08:52,2022-12-13 17:59:10,0 days 08:50:18,2022-12-13,morning,530.3
Staff 19,2022-12-14 09:02:28,2022-12-14 17:58:46,0 days 08:56:18,2022-12-14,morning,536.3
Staff 19,2022-12-15 09:28:02,2022-12-15 17:52:26,0 days 08:24:24,2022-12-15,morning,504.4
Staff 19,2022-12-16 14:49:29,2022-12-16 16:52:37,0 days 02:03:08,2022-12-16,afternoon,123.13333333333334
Staff 19,2022-12-19 10:39:04,2022-12-19 17:52:21,0 days 07:13:17,2022-12-19,morning,433.28333333333336
Staff 19,2022-12-20 10:31:24,2022-12-20 17:59:26,0 days 07:28:02,2022-12-20,morning,448.03333333333336
Staff 19,2022-12-21 09:12:34,2022-12-21 17:03:58,0 days 07:51:24,2022-12-21,morning,471.4
Staff 19,2022-12-22 10:11:11,2022-12-22 17:48:15,0 days 07:37:04,2022-12-22,morning,457.06666666666666
Staff 19,2022-12-23 09:39:30,2022-12-23 13:12:29,0 days 03:32:59,2022-12-23,morning,212.98333333333332
Staff 19,2022-12-30 12:21:09,2022-12-30 14:42:41,0 days 02:21:32,2022-12-30,morning,141.53333333333333
Staff 26,2022-12-01 09:00:28,2022-12-01 17:19:45,0 days 08:19:17,2022-12-01,morning,499.28333333333336
Staff 26,2022-12-02 11:01:34,2022-12-02 17:30:43,0 days 06:29:09,2022-12-02,morning,389.15
Staff 26,2022-12-05 10:12:46,2022-12-05 17:16:23,0 days 07:03:37,2022-12-05,morning,423.6166666666667
Staff 26,2022-12-06 10:13:06,2022-12-06 17:55:17,0 days 07:42:11,2022-12-06,morning,462.18333333333334
Staff 26,2022-12-07 09:49:24,2022-12-07 17:32:40,0 days 07:43:16,2022-12-07,morning,463.26666666666665
Staff 26,2022-12-08 10:07:17,2022-12-08 17:55:23,0 days 07:48:06,2022-12-08,morning,468.1
Staff 26,2022-12-09 09:53:46,2022-12-09 16:26:25,0 days 06:32:39,2022-12-09,morning,392.65
Staff 26,2022-12-12 10:34:24,2022-12-12 10:34:32,0 days 00:00:08,2022-12-12,morning,0.13333333333333333
Staff 26,2022-12-13 10:40:02,2022-12-13 16:57:52,0 days 06:17:50,2022-12-13,morning,377.8333333333333
Staff 26,2022-12-14 10:08:23,2022-12-14 17:25:42,0 days 07:17:19,2022-12-14,morning,437.31666666666666
Staff 26,2022-12-15 10:21:51,2022-12-15 17:41:37,0 days 07:19:46,2022-12-15,morning,439.76666666666665
Staff 26,2022-12-16 14:48:03,2022-12-16 17:58:34,0 days 03:10:31,2022-12-16,afternoon,190.51666666666668
Staff 26,2022-12-19 10:57:50,2022-12-19 17:46:17,0 days 06:48:27,2022-12-19,morning,408.45
Staff 26,2022-12-20 10:02:26,2022-12-20 17:59:26,0 days 07:57:00,2022-12-20,morning,477.0
Staff 26,2022-12-21 09:12:02,2022-12-21 17:40:24,0 days 08:28:22,2022-12-21,morning,508.3666666666667
Staff 26,2022-12-22 09:26:22,2022-12-22 17:47:58,0 days 08:21:36,2022-12-22,morning,501.6
Staff 26,2022-12-23 12:11:12,2022-12-23 16:30:16,0 days 04:19:04,2022-12-23,morning,259.06666666666666
Staff 26,2022-12-24 09:33:22,2022-12-24 15:46:23,0 days 06:13:01,2022-12-24,morning,373.01666666666665
Staff 26,2022-12-25 17:19:58,2022-12-25 17:36:09,0 days 00:16:11,2022-12-25,afternoon,16.183333333333334
Staff 26,2022-12-28 09:43:59,2022-12-28 17:39:21,0 days 07:55:22,2022-12-28,morning,475.3666666666667
Staff 26,2022-12-29 09:27:51,2022-12-29 17:20:44,0 days 07:52:53,2022-12-29,morning,472.8833333333333
Staff 26,2022-12-30 10:09:20,2022-12-30 14:45:22,0 days 04:36:02,2022-12-30,morning,276.03333333333336
Staff 27,2022-12-01 10:00:30,2022-12-01 17:57:53,0 days 07:57:23,2022-12-01,morning,477.3833333333333
Staff 27,2022-12-02 10:09:14,2022-12-02 17:59:08,0 days 07:49:54,2022-12-02,morning,469.9
Staff 27,2022-12-03 09:03:50,2022-12-03 17:56:41,0 days 08:52:51,2022-12-03,morning,532.85
Staff 27,2022-12-04 09:02:40,2022-12-04 17:59:52,0 days 08:57:12,2022-12-04,morning,537.2
Staff 27,2022-12-05 09:00:32,2022-12-05 11:09:18,0 days 02:08:46,2022-12-05,morning,128.76666666666668
Staff 27,2022-12-06 10:21:00,2022-12-06 17:32:21,0 days 07:11:21,2022-12-06,morning,431.35
Staff 27,2022-12-07 10:11:33,2022-12-07 17:54:42,0 days 07:43:09,2022-12-07,morning,463.15
Staff 27,2022-12-08 10:28:01,2022-12-08 15:39:23,0 days 05:11:22,2022-12-08,morning,311.3666666666667
Staff 27,2022-12-09 10:08:52,2022-12-09 17:30:52,0 days 07:22:00,2022-12-09,morning,442.0
Staff 27,2022-12-10 09:52:29,2022-12-10 14:50:31,0 days 04:58:02,2022-12-10,morning,298.03333333333336
Staff 27,2022-12-11 10:23:41,2022-12-11 17:56:06,0 days 07:32:25,2022-12-11,morning,452.4166666666667
Staff 27,2022-12-12 09:18:42,2022-12-12 17:58:30,0 days 08:39:48,2022-12-12,morning,519.8
Staff 27,2022-12-13 09:11:45,2022-12-13 17:44:00,0 days 08:32:15,2022-12-13,morning,512.25
Staff 27,2022-12-14 09:20:45,2022-12-14 17:53:22,0 days 08:32:37,2022-12-14,morning,512.6166666666667
Staff 27,2022-12-15 10:12:55,2022-12-15 17:59:58,0 days 07:47:03,2022-12-15,morning,467.05
Staff 27,2022-12-16 09:00:29,2022-12-16 17:21:15,0 days 08:20:46,2022-12-16,morning,500.76666666666665
Staff 27,2022-12-18 12:14:54,2022-12-18 17:56:49,0 days 05:41:55,2022-12-18,morning,341.9166666666667
Staff 27,2022-12-19 09:00:21,2022-12-19 17:59:30,0 days 08:59:09,2022-12-19,morning,539.15
Staff 27,2022-12-20 09:20:05,2022-12-20 17:41:04,0 days 08:20:59,2022-12-20,morning,500.98333333333335
Staff 27,2022-12-21 09:02:45,2022-12-21 17:00:11,0 days 07:57:26,2022-12-21,morning,477.43333333333334
Staff 27,2022-12-22 10:01:05,2022-12-22 14:06:47,0 days 04:05:42,2022-12-22,morning,245.7
Staff 27,2022-12-23 13:03:45,2022-12-23 13:27:20,0 days 00:23:35,2022-12-23,afternoon,23.583333333333332
Staff 27,2022-12-28 10:18:21,2022-12-28 15:58:26,0 days 05:40:05,2022-12-28,morning,340.0833333333333
Staff 27,2022-12-30 12:21:01,2022-12-30 17:51:24,0 days 05:30:23,2022-12-30,morning,330.3833333333333
Staff 27,2022-12-31 16:33:16,2022-12-31 16:33:41,0 days 00:00:25,2022-12-31,afternoon,0.4166666666666667
Staff 28,2022-12-01 09:23:58,2022-12-01 17:47:01,0 days 08:23:03,2022-12-01,morning,503.05
Staff 28,2022-12-02 11:01:22,2022-12-02 16:58:03,0 days 05:56:41,2022-12-02,morning,356.68333333333334
Staff 28,2022-12-05 11:11:37,2022-12-05 17:35:50,0 days 06:24:13,2022-12-05,morning,384.21666666666664
Staff 28,2022-12-06 10:20:42,2022-12-06 17:28:53,0 days 07:08:11,2022-12-06,morning,428.18333333333334
Staff 28,2022-12-07 09:57:21,2022-12-07 17:28:39,0 days 07:31:18,2022-12-07,morning,451.3
Staff 28,2022-12-08 10:07:09,2022-12-08 17:38:44,0 days 07:31:35,2022-12-08,morning,451.5833333333333
Staff 28,2022-12-09 10:07:07,2022-12-09 17:10:04,0 days 07:02:57,2022-12-09,morning,422.95
Staff 28,2022-12-12 10:03:14,2022-12-12 17:43:21,0 days 07:40:07,2022-12-12,morning,460.1166666666667
Staff 28,2022-12-13 09:11:20,2022-12-13 17:27:05,0 days 08:15:45,2022-12-13,morning,495.75
Staff 28,2022-12-14 10:01:03,2022-12-14 17:57:52,0 days 07:56:49,2022-12-14,morning,476.81666666666666
Staff 28,2022-12-15 09:20:00,2022-12-15 17:48:00,0 days 08:28:00,2022-12-15,morning,508.0
Staff 28,2022-12-16 09:50:53,2022-12-16 15:25:24,0 days 05:34:31,2022-12-16,morning,334.51666666666665
Staff 28,2022-12-19 10:37:33,2022-12-19 17:08:57,0 days 06:31:24,2022-12-19,morning,391.4
Staff 28,2022-12-20 10:32:00,2022-12-20 17:58:18,0 days 07:26:18,2022-12-20,morning,446.3
Staff 28,2022-12-21 09:15:54,2022-12-21 17:33:03,0 days 08:17:09,2022-12-21,morning,497.15
Staff 28,2022-12-22 10:01:07,2022-12-22 17:48:05,0 days 07:46:58,2022-12-22,morning,466.96666666666664
Staff 28,2022-12-23 13:12:41,2022-12-23 17:48:02,0 days 04:35:21,2022-12-23,afternoon,275.35
Staff 28,2022-12-24 09:35:52,2022-12-24 17:40:31,0 days 08:04:39,2022-12-24,morning,484.65
Staff 28,2022-12-25 09:07:47,2022-12-25 17:19:58,0 days 08:12:11,2022-12-25,morning,492.18333333333334
Staff 28,2022-12-27 16:50:29,2022-12-27 16:50:52,0 days 00:00:23,2022-12-27,afternoon,0.38333333333333336
Staff 28,2022-12-28 12:03:31,2022-12-28 17:25:21,0 days 05:21:50,2022-12-28,morning,321.8333333333333
Staff 28,2022-12-29 09:23:27,2022-12-29 17:19:32,0 days 07:56:05,2022-12-29,morning,476.0833333333333
Staff 28,2022-12-30 11:36:12,2022-12-30 17:18:06,0 days 05:41:54,2022-12-30,morning,341.9
Staff 29,2022-12-01 09:23:46,2022-12-01 17:59:58,0 days 08:36:12,2022-12-01,morning,516.2
Staff 29,2022-12-02 09:12:16,2022-12-02 17:57:30,0 days 08:45:14,2022-12-02,morning,525.2333333333333
Staff 29,2022-12-05 09:21:59,2022-12-05 17:59:56,0 days 08:37:57,2022-12-05,morning,517.95
Staff 29,2022-12-06 09:00:25,2022-12-06 17:56:51,0 days 08:56:26,2022-12-06,morning,536.4333333333333
Staff 29,2022-12-07 09:42:56,2022-12-07 17:55:15,0 days 08:12:19,2022-12-07,morning,492.31666666666666
Staff 29,2022-12-08 09:43:07,2022-12-08 17:37:14,0 days 07:54:07,2022-12-08,morning,474.1166666666667
Staff 29,2022-12-09 10:08:13,2022-12-09 17:58:51,0 days 07:50:38,2022-12-09,morning,470.6333333333333
Staff 29,2022-12-10 09:11:01,2022-12-10 17:56:39,0 days 08:45:38,2022-12-10,morning,525.6333333333333
Staff 29,2022-12-11 09:00:35,2022-12-11 17:57:45,0 days 08:57:10,2022-12-11,morning,537.1666666666666
Staff 29,2022-12-12 09:01:01,2022-12-12 17:43:21,0 days 08:42:20,2022-12-12,morning,522.3333333333334
Staff 29,2022-12-13 09:11:50,2022-12-13 17:56:18,0 days 08:44:28,2022-12-13,morning,524.4666666666667
Staff 29,2022-12-14 10:02:36,2022-12-14 17:49:55,0 days 07:47:19,2022-12-14,morning,467.31666666666666
Staff 29,2022-12-15 09:20:00,2022-12-15 17:27:33,0 days 08:07:33,2022-12-15,morning,487.55
Staff 29,2022-12-16 10:07:16,2022-12-16 17:17:27,0 days 07:10:11,2022-12-16,morning,430.18333333333334
Staff 29,2022-12-21 12:43:48,2022-12-21 14:38:04,0 days 01:54:16,2022-12-21,morning,114.26666666666667
Staff 29,2022-12-22 10:49:52,2022-12-22 17:59:26,0 days 07:09:34,2022-12-22,morning,429.56666666666666
Staff 29,2022-12-23 09:01:06,2022-12-23 17:57:29,0 days 08:56:23,2022-12-23,morning,536.3833333333333
Staff 29,2022-12-24 09:00:22,2022-12-24 17:59:33,0 days 08:59:11,2022-12-24,morning,539.1833333333333
Staff 29,2022-12-25 09:00:33,2022-12-25 17:59:53,0 days 08:59:20,2022-12-25,morning,539.3333333333334
Staff 29,2022-12-26 09:00:05,2022-12-26 17:59:13,0 days 08:59:08,2022-12-26,morning,539.1333333333333
Staff 29,2022-12-27 09:00:01,2022-12-27 17:59:04,0 days 08:59:03,2022-12-27,morning,539.05
Staff 29,2022-12-28 09:00:24,2022-12-28 17:58:12,0 days 08:57:48,2022-12-28,morning,537.8
Staff 29,2022-12-29 09:00:39,2022-12-29 17:59:04,0 days 08:58:25,2022-12-29,morning,538.4166666666666
Staff 29,2022-12-30 09:00:47,2022-12-30 17:53:36,0 days 08:52:49,2022-12-30,morning,532.8166666666667
Staff 29,2022-12-31 09:37:35,2022-12-31 17:53:21,0 days 08:15:46,2022-12-31,morning,495.76666666666665
Staff 3,2022-12-01 11:23:33,2022-12-01 15:49:20,0 days 04:25:47,2022-12-01,morning,265.78333333333336
Staff 3,2022-12-02 14:47:09,2022-12-02 17:30:33,0 days 02:43:24,2022-12-02,afternoon,163.4
Staff 3,2022-12-05 17:02:44,2022-12-05 17:07:27,0 days 00:04:43,2022-12-05,afternoon,4.716666666666667
Staff 3,2022-12-06 10:59:11,2022-12-06 14:56:51,0 days 03:57:40,2022-12-06,morning,237.66666666666666
Staff 3,2022-12-07 09:57:16,2022-12-07 16:11:20,0 days 06:14:04,2022-12-07,morning,374.06666666666666
Staff 3,2022-12-08 10:27:16,2022-12-08 17:33:55,0 days 07:06:39,2022-12-08,morning,426.65
Staff 3,2022-12-09 10:06:38,2022-12-09 16:28:42,0 days 06:22:04,2022-12-09,morning,382.06666666666666
Staff 3,2022-12-12 10:07:10,2022-12-12 10:34:33,0 days 00:27:23,2022-12-12,morning,27.383333333333333
Staff 3,2022-12-13 16:57:22,2022-12-13 16:59:54,0 days 00:02:32,2022-12-13,afternoon,2.533333333333333
Staff 3,2022-12-14 10:11:08,2022-12-14 17:48:47,0 days 07:37:39,2022-12-14,morning,457.65
Staff 3,2022-12-15 09:17:44,2022-12-15 17:42:06,0 days 08:24:22,2022-12-15,morning,504.3666666666667
Staff 3,2022-12-16 09:50:45,2022-12-16 16:35:40,0 days 06:44:55,2022-12-16,morning,404.9166666666667
Staff 3,2022-12-19 12:07:15,2022-12-19 17:49:24,0 days 05:42:09,2022-12-19,morning,342.15
Staff 3,2022-12-20 10:37:46,2022-12-20 15:53:21,0 days 05:15:35,2022-12-20,morning,315.5833333333333
Staff 3,2022-12-21 12:13:24,2022-12-21 16:17:06,0 days 04:03:42,2022-12-21,morning,243.7
Staff 3,2022-12-22 10:17:09,2022-12-22 16:04:25,0 days 05:47:16,2022-12-22,morning,347.26666666666665
Staff 3,2022-12-23 16:26:32,2022-12-23 16:26:35,0 days 00:00:03,2022-12-23,afternoon,0.05
Staff 3,2022-12-24 09:36:29,2022-12-24 17:40:32,0 days 08:04:03,2022-12-24,morning,484.05
Staff 3,2022-12-25 17:45:15,2022-12-25 17:45:19,0 days 00:00:04,2022-12-25,afternoon,0.06666666666666667
Staff 3,2022-12-27 16:50:07,2022-12-27 16:50:30,0 days 00:00:23,2022-12-27,afternoon,0.38333333333333336
Staff 3,2022-12-28 12:03:40,2022-12-28 17:39:04,0 days 05:35:24,2022-12-28,morning,335.4
Staff 3,2022-12-29 09:30:08,2022-12-29 17:19:32,0 days 07:49:24,2022-12-29,morning,469.4
Staff 3,2022-12-30 11:36:24,2022-12-30 17:18:26,0 days 05:42:02,2022-12-30,morning,342.03333333333336
Staff 30,2022-12-01 09:00:21,2022-12-01 16:47:52,0 days 07:47:31,2022-12-01,morning,467.51666666666665
Staff 30,2022-12-02 10:36:37,2022-12-02 17:30:37,0 days 06:54:00,2022-12-02,morning,414.0
Staff 30,2022-12-05 10:53:45,2022-12-05 17:41:06,0 days 06:47:21,2022-12-05,morning,407.35
Staff 30,2022-12-06 10:21:17,2022-12-06 15:28:39,0 days 05:07:22,2022-12-06,morning,307.3666666666667
Staff 30,2022-12-07 09:57:07,2022-12-07 17:45:07,0 days 07:48:00,2022-12-07,morning,468.0
Staff 30,2022-12-08 14:01:46,2022-12-08 17:18:07,0 days 03:16:21,2022-12-08,afternoon,196.35
Staff 30,2022-12-09 10:08:06,2022-12-09 17:21:05,0 days 07:12:59,2022-12-09,morning,432.98333333333335
Staff 30,2022-12-12 10:34:53,2022-12-12 17:13:30,0 days 06:38:37,2022-12-12,morning,398.6166666666667
Staff 30,2022-12-13 11:20:02,2022-12-13 17:36:06,0 days 06:16:04,2022-12-13,morning,376.06666666666666
Staff 30,2022-12-14 10:10:16,2022-12-14 17:07:07,0 days 06:56:51,2022-12-14,morning,416.85
Staff 30,2022-12-15 10:35:31,2022-12-15 17:47:02,0 days 07:11:31,2022-12-15,morning,431.51666666666665
Staff 30,2022-12-16 15:30:23,2022-12-16 15:30:26,0 days 00:00:03,2022-12-16,afternoon,0.05
Staff 30,2022-12-19 09:37:04,2022-12-19 17:34:03,0 days 07:56:59,2022-12-19,morning,476.98333333333335
Staff 30,2022-12-20 10:31:09,2022-12-20 16:04:10,0 days 05:33:01,2022-12-20,morning,333.01666666666665
Staff 30,2022-12-21 10:03:02,2022-12-21 17:04:00,0 days 07:00:58,2022-12-21,morning,420.96666666666664
Staff 30,2022-12-22 09:45:43,2022-12-22 16:28:57,0 days 06:43:14,2022-12-22,morning,403.23333333333335
Staff 30,2022-12-23 13:15:51,2022-12-23 16:56:54,0 days 03:41:03,2022-12-23,afternoon,221.05
Staff 30,2022-12-30 12:19:47,2022-12-30 17:10:59,0 days 04:51:12,2022-12-30,morning,291.2
Staff 31,2022-12-01 10:00:32,2022-12-01 17:57:17,0 days 07:56:45,2022-12-01,morning,476.75
Staff 31,2022-12-02 09:02:09,2022-12-02 17:57:33,0 days 08:55:24,2022-12-02,morning,535.4
Staff 31,2022-12-03 09:00:06,2022-12-03 17:59:20,0 days 08:59:14,2022-12-03,morning,539.2333333333333
Staff 31,2022-12-04 09:00:53,2022-12-04 17:59:55,0 days 08:59:02,2022-12-04,morning,539.0333333333333
Staff 31,2022-12-05 09:00:06,2022-12-05 17:35:51,0 days 08:35:45,2022-12-05,morning,515.75
Staff 31,2022-12-06 10:20:41,2022-12-06 17:56:33,0 days 07:35:52,2022-12-06,morning,455.8666666666667
Staff 31,2022-12-07 09:51:47,2022-12-07 17:45:05,0 days 07:53:18,2022-12-07,morning,473.3
Staff 31,2022-12-08 10:26:01,2022-12-08 17:59:56,0 days 07:33:55,2022-12-08,morning,453.9166666666667
Staff 31,2022-12-09 10:07:33,2022-12-09 17:20:47,0 days 07:13:14,2022-12-09,morning,433.23333333333335
Staff 31,2022-12-12 09:51:26,2022-12-12 15:16:45,0 days 05:25:19,2022-12-12,morning,325.31666666666666
Staff 31,2022-12-13 11:18:56,2022-12-13 14:29:04,0 days 03:10:08,2022-12-13,morning,190.13333333333333
Staff 31,2022-12-14 11:11:55,2022-12-14 17:47:19,0 days 06:35:24,2022-12-14,morning,395.4
