Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 16,2022-12-01 09:24:03,2022-12-01 17:28:19,0 days 08:04:16,2022-12-01,morning,484.26666666666665
Staff 16,2022-12-02 09:56:35,2022-12-02 17:30:21,0 days 07:33:46,2022-12-02,morning,453.76666666666665
Staff 16,2022-12-05 10:21:05,2022-12-05 17:36:00,0 days 07:14:55,2022-12-05,morning,434.9166666666667
Staff 16,2022-12-06 10:26:57,2022-12-06 15:29:14,0 days 05:02:17,2022-12-06,morning,302.28333333333336
Staff 16,2022-12-07 09:49:30,2022-12-07 17:55:01,0 days 08:05:31,2022-12-07,morning,485.51666666666665
Staff 16,2022-12-08 10:25:55,2022-12-08 17:59:58,0 days 07:34:03,2022-12-08,morning,454.05
Staff 16,2022-12-09 10:06:32,2022-12-09 17:38:41,0 days 07:32:09,2022-12-09,morning,452.15
Staff 16,2022-12-10 11:04:46,2022-12-10 15:18:45,0 days 04:13:59,2022-12-10,morning,253.98333333333332
Staff 16,2022-12-12 10:06:36,2022-12-12 17:31:16,0 days 07:24:40,2022-12-12,morning,444.6666666666667
Staff 16,2022-12-13 09:17:15,2022-12-13 17:26:46,0 days 08:09:31,2022-12-13,morning,489.51666666666665
Staff 16,2022-12-14 10:07:14,2022-12-14 17:58:02,0 days 07:50:48,2022-12-14,morning,470.8
Staff 16,2022-12-15 09:38:16,2022-12-15 17:59:58,0 days 08:21:42,2022-12-15,morning,501.7
Staff 16,2022-12-16 09:00:01,2022-12-16 17:59:07,0 days 08:59:06,2022-12-16,morning,539.1
Staff 16,2022-12-17 09:00:16,2022-12-17 17:54:04,0 days 08:53:48,2022-12-17,morning,533.8
Staff 16,2022-12-18 09:01:32,2022-12-18 17:59:58,0 days 08:58:26,2022-12-18,morning,538.4333333333333
Staff 16,2022-12-19 09:02:15,2022-12-19 17:49:42,0 days 08:47:27,2022-12-19,morning,527.45
Staff 16,2022-12-20 10:04:55,2022-12-20 17:15:13,0 days 07:10:18,2022-12-20,morning,430.3
Staff 16,2022-12-21 10:07:20,2022-12-21 17:57:38,0 days 07:50:18,2022-12-21,morning,470.3
