Technician,Location,from,to
Staff 19,"15.506,18.026","9/18/2022, 6:08:10 PM","9/18/2022, 6:08:13 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:08:13 PM","9/18/2022, 6:08:17 PM"
Staff 19,"15.515,17.948","9/18/2022, 6:08:17 PM","9/18/2022, 6:08:34 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:08:34 PM","9/18/2022, 6:08:37 PM"
Staff 19,"15.462,18.007","9/18/2022, 6:08:37 PM","9/18/2022, 6:08:39 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:08:39 PM","9/18/2022, 6:08:44 PM"
Staff 19,"15.441,18.016","9/18/2022, 6:08:44 PM","9/18/2022, 6:09:01 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:09:01 PM","9/18/2022, 6:09:23 PM"
Staff 19,"15.411,17.95","9/18/2022, 6:09:23 PM","9/18/2022, 6:09:23 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:09:23 PM","9/18/2022, 6:09:45 PM"
Staff 19,"15.428,17.934","9/18/2022, 6:09:45 PM","9/18/2022, 6:09:45 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:09:45 PM","9/18/2022, 6:09:48 PM"
Staff 19,"15.429,18.029","9/18/2022, 6:09:48 PM","9/18/2022, 6:09:59 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:09:59 PM","9/18/2022, 6:12:39 PM"
Staff 19,"15.479,17.968","9/18/2022, 6:12:39 PM","9/18/2022, 6:12:40 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:12:40 PM","9/18/2022, 6:12:46 PM"
Staff 19,"15.477,17.952","9/18/2022, 6:12:46 PM","9/18/2022, 6:12:59 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:12:59 PM","9/18/2022, 6:13:01 PM"
Staff 19,"15.542,17.976","9/18/2022, 6:13:01 PM","9/18/2022, 6:13:07 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:13:07 PM","9/18/2022, 6:13:09 PM"
Staff 19,"15.494,17.966","9/18/2022, 6:13:09 PM","9/18/2022, 6:13:10 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:13:10 PM","9/18/2022, 6:13:11 PM"
Staff 19,"15.475,17.953","9/18/2022, 6:13:11 PM","9/18/2022, 6:13:18 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:13:18 PM","9/18/2022, 6:13:19 PM"
Staff 19,"15.483,17.957","9/18/2022, 6:13:19 PM","9/18/2022, 6:13:21 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:13:21 PM","9/18/2022, 6:13:24 PM"
Staff 19,"15.446,17.962","9/18/2022, 6:13:24 PM","9/18/2022, 6:13:27 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:13:27 PM","9/18/2022, 6:14:03 PM"
Staff 19,"15.43,17.944","9/18/2022, 6:14:03 PM","9/18/2022, 6:14:04 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:14:04 PM","9/18/2022, 6:14:06 PM"
Staff 19,"15.516,17.964","9/18/2022, 6:14:06 PM","9/18/2022, 6:14:08 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:14:08 PM","9/18/2022, 6:14:09 PM"
Staff 19,"15.406,17.974","9/18/2022, 6:14:09 PM","9/18/2022, 6:14:11 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:14:11 PM","9/18/2022, 6:14:14 PM"
Staff 19,"15.502,17.92","9/18/2022, 6:14:14 PM","9/18/2022, 6:14:14 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:14:14 PM","9/18/2022, 6:14:18 PM"
Staff 19,"15.479,18.006","9/18/2022, 6:14:18 PM","9/18/2022, 6:14:47 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:14:47 PM","9/18/2022, 6:15:08 PM"
Staff 19,"15.462,17.922","9/18/2022, 6:15:08 PM","9/18/2022, 6:15:08 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:15:08 PM","9/18/2022, 6:16:18 PM"
Staff 19,"15.448,17.996","9/18/2022, 6:16:18 PM","9/18/2022, 6:16:20 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:16:20 PM","9/18/2022, 6:16:27 PM"
Staff 19,"15.436,17.907","9/18/2022, 6:16:27 PM","9/18/2022, 6:16:27 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:16:27 PM","9/18/2022, 6:17:06 PM"
Staff 19,"15.435,17.937","9/18/2022, 6:17:06 PM","9/18/2022, 6:17:07 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:17:07 PM","9/18/2022, 6:17:18 PM"
Staff 19,"15.478,17.986","9/18/2022, 6:17:18 PM","9/18/2022, 6:17:20 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:17:20 PM","9/18/2022, 6:17:47 PM"
Staff 19,"15.358,17.959","9/18/2022, 6:17:47 PM","9/18/2022, 6:17:48 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:17:48 PM","9/18/2022, 6:17:51 PM"
Staff 19,"15.4,17.899","9/18/2022, 6:17:51 PM","9/18/2022, 6:17:52 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:17:52 PM","9/18/2022, 6:18:24 PM"
Staff 19,"15.32,18.025","9/18/2022, 6:18:24 PM","9/18/2022, 6:18:29 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:18:29 PM","9/18/2022, 6:18:36 PM"
Staff 19,"15.691,17.928","9/18/2022, 6:18:36 PM","9/18/2022, 6:18:37 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:18:37 PM","9/18/2022, 6:18:39 PM"
Staff 19,"15.523,17.936","9/18/2022, 6:18:39 PM","9/18/2022, 6:18:47 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:18:47 PM","9/18/2022, 6:18:59 PM"
Staff 19,"11.085,13.017","9/18/2022, 6:18:59 PM","9/18/2022, 6:19:00 PM"
Staff 19,"7.429,7.781","9/18/2022, 6:19:00 PM","9/18/2022, 6:19:10 PM"
Staff 19,"11.085,13.017","9/18/2022, 6:19:10 PM","9/18/2022, 6:19:11 PM"
Staff 19,"14.086,16.923","9/18/2022, 6:19:11 PM","9/18/2022, 6:19:15 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:19:15 PM","9/18/2022, 6:20:14 PM"
Staff 19,"15.479,17.947","9/18/2022, 6:20:14 PM","9/18/2022, 6:20:15 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:20:15 PM","9/18/2022, 6:20:19 PM"
Staff 19,"15.427,17.985","9/18/2022, 6:20:19 PM","9/18/2022, 6:20:25 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:20:25 PM","9/18/2022, 6:20:27 PM"
Staff 19,"15.409,17.959","9/18/2022, 6:20:27 PM","9/18/2022, 6:20:28 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:20:28 PM","9/18/2022, 6:22:10 PM"
Staff 19,"15.471,17.988","9/18/2022, 6:22:10 PM","9/18/2022, 6:22:11 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:22:11 PM","9/18/2022, 6:22:18 PM"
Staff 19,"15.341,17.892","9/18/2022, 6:22:18 PM","9/18/2022, 6:22:18 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:22:18 PM","9/18/2022, 6:22:23 PM"
Staff 19,"15.48,17.98","9/18/2022, 6:22:23 PM","9/18/2022, 6:22:25 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:22:25 PM","9/18/2022, 6:22:28 PM"
Staff 19,"15.513,17.98","9/18/2022, 6:22:28 PM","9/18/2022, 6:22:35 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:22:35 PM","9/18/2022, 6:22:45 PM"
Staff 19,"15.476,17.933","9/18/2022, 6:22:45 PM","9/18/2022, 6:22:46 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:22:46 PM","9/18/2022, 6:22:47 PM"
Staff 19,"15.593,18.046","9/18/2022, 6:22:47 PM","9/18/2022, 6:22:51 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:22:51 PM","9/18/2022, 6:22:55 PM"
Staff 19,"15.529,18.017","9/18/2022, 6:22:55 PM","9/18/2022, 6:23:17 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:23:17 PM","9/18/2022, 6:23:26 PM"
Staff 19,"15.46,18.004","9/18/2022, 6:23:26 PM","9/18/2022, 6:23:33 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:23:33 PM","9/18/2022, 6:23:37 PM"
Staff 19,"15.456,17.942","9/18/2022, 6:23:37 PM","9/18/2022, 6:23:38 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:23:38 PM","9/18/2022, 6:23:40 PM"
Staff 19,"15.447,17.931","9/18/2022, 6:23:40 PM","9/18/2022, 6:23:41 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:23:41 PM","9/18/2022, 6:23:45 PM"
Staff 19,"15.41,17.912","9/18/2022, 6:23:45 PM","9/18/2022, 6:23:45 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:23:45 PM","9/18/2022, 6:23:50 PM"
Staff 19,"15.449,17.976","9/18/2022, 6:23:50 PM","9/18/2022, 6:23:52 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:23:52 PM","9/18/2022, 6:24:32 PM"
Staff 19,"15.437,17.967","9/18/2022, 6:24:32 PM","9/18/2022, 6:24:34 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:24:34 PM","9/18/2022, 6:25:23 PM"
Staff 19,"15.433,17.951","9/18/2022, 6:25:23 PM","9/18/2022, 6:25:26 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:25:26 PM","9/18/2022, 6:25:29 PM"
Staff 19,"15.428,17.923","9/18/2022, 6:25:29 PM","9/18/2022, 6:25:29 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:25:29 PM","9/18/2022, 6:25:37 PM"
Staff 19,"15.351,17.955","9/18/2022, 6:25:37 PM","9/18/2022, 6:25:41 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:25:41 PM","9/18/2022, 6:25:43 PM"
Staff 19,"15.447,17.949","9/18/2022, 6:25:43 PM","9/18/2022, 6:25:45 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:25:45 PM","9/18/2022, 6:25:47 PM"
Staff 19,"15.43,17.993","9/18/2022, 6:25:47 PM","9/18/2022, 6:25:49 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:25:49 PM","9/18/2022, 6:25:56 PM"
Staff 19,"15.498,18.046","9/18/2022, 6:25:56 PM","9/18/2022, 6:26:00 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:26:00 PM","9/18/2022, 6:26:01 PM"
Staff 19,"15.445,17.932","9/18/2022, 6:26:01 PM","9/18/2022, 6:26:01 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:26:01 PM","9/18/2022, 6:26:04 PM"
Staff 19,"15.491,17.968","9/18/2022, 6:26:04 PM","9/18/2022, 6:26:17 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:26:17 PM","9/18/2022, 6:26:30 PM"
Staff 19,"15.487,18.022","9/18/2022, 6:26:30 PM","9/18/2022, 6:26:42 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:26:42 PM","9/18/2022, 6:26:49 PM"
Staff 19,"15.457,17.963","9/18/2022, 6:26:49 PM","9/18/2022, 6:27:02 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:27:02 PM","9/18/2022, 6:27:04 PM"
Staff 19,"15.435,17.979","9/18/2022, 6:27:04 PM","9/18/2022, 6:27:13 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:27:13 PM","9/18/2022, 6:27:29 PM"
Staff 19,"15.42,17.956","9/18/2022, 6:27:29 PM","9/18/2022, 6:27:36 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:27:36 PM","9/18/2022, 6:27:39 PM"
Staff 19,"15.452,17.952","9/18/2022, 6:27:39 PM","9/18/2022, 6:27:53 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:27:53 PM","9/18/2022, 6:28:03 PM"
Staff 19,"15.519,17.937","9/18/2022, 6:28:03 PM","9/18/2022, 6:28:13 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:28:13 PM","9/18/2022, 6:28:15 PM"
Staff 19,"15.417,17.965","9/18/2022, 6:28:15 PM","9/18/2022, 6:28:17 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:28:17 PM","9/18/2022, 6:28:21 PM"
Staff 19,"15.416,18.027","9/18/2022, 6:28:21 PM","9/18/2022, 6:28:28 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:28:28 PM","9/18/2022, 6:29:18 PM"
Staff 19,"15.436,17.925","9/18/2022, 6:29:18 PM","9/18/2022, 6:29:20 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:29:20 PM","9/18/2022, 6:29:33 PM"
Staff 19,"15.425,17.949","9/18/2022, 6:29:33 PM","9/18/2022, 6:29:34 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:29:34 PM","9/18/2022, 6:29:36 PM"
Staff 19,"15.479,17.918","9/18/2022, 6:29:36 PM","9/18/2022, 6:29:40 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:29:40 PM","9/18/2022, 6:29:42 PM"
Staff 19,"15.445,17.949","9/18/2022, 6:29:42 PM","9/18/2022, 6:29:43 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:29:43 PM","9/18/2022, 6:29:47 PM"
Staff 19,"15.435,17.914","9/18/2022, 6:29:47 PM","9/18/2022, 6:29:48 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:29:48 PM","9/18/2022, 6:29:50 PM"
Staff 19,"15.506,17.97","9/18/2022, 6:29:50 PM","9/18/2022, 6:30:22 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:30:22 PM","9/18/2022, 6:30:23 PM"
Staff 19,"15.521,18.029","9/18/2022, 6:30:23 PM","9/18/2022, 6:30:26 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:30:26 PM","9/18/2022, 6:30:31 PM"
Staff 19,"15.432,17.92","9/18/2022, 6:30:31 PM","9/18/2022, 6:30:31 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:30:31 PM","9/18/2022, 6:30:35 PM"
Staff 19,"15.36,17.989","9/18/2022, 6:30:35 PM","9/18/2022, 6:30:41 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:30:41 PM","9/18/2022, 6:30:56 PM"
Staff 19,"15.443,17.95","9/18/2022, 6:30:56 PM","9/18/2022, 6:31:33 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:31:33 PM","9/18/2022, 6:31:38 PM"
Staff 19,"15.456,17.966","9/18/2022, 6:31:38 PM","9/18/2022, 6:31:40 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:31:40 PM","9/18/2022, 6:32:05 PM"
Staff 19,"15.522,17.961","9/18/2022, 6:32:05 PM","9/18/2022, 6:32:11 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:32:11 PM","9/18/2022, 6:32:13 PM"
Staff 19,"15.523,17.959","9/18/2022, 6:32:13 PM","9/18/2022, 6:32:44 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:32:44 PM","9/18/2022, 6:32:55 PM"
Staff 19,"15.44,18.053","9/18/2022, 6:32:55 PM","9/18/2022, 6:32:58 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:32:58 PM","9/18/2022, 6:33:29 PM"
Staff 19,"15.435,17.95","9/18/2022, 6:33:29 PM","9/18/2022, 6:33:30 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:33:30 PM","9/18/2022, 6:33:40 PM"
Staff 19,"15.483,17.977","9/18/2022, 6:33:40 PM","9/18/2022, 6:33:49 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:33:49 PM","9/18/2022, 6:33:51 PM"
Staff 19,"15.536,17.986","9/18/2022, 6:33:51 PM","9/18/2022, 6:33:53 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:33:53 PM","9/18/2022, 6:34:08 PM"
Staff 19,"15.367,17.95","9/18/2022, 6:34:08 PM","9/18/2022, 6:34:13 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:34:13 PM","9/18/2022, 6:34:25 PM"
Staff 19,"15.472,17.958","9/18/2022, 6:34:25 PM","9/18/2022, 6:34:28 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:34:28 PM","9/18/2022, 6:34:30 PM"
Staff 19,"15.516,17.952","9/18/2022, 6:34:30 PM","9/18/2022, 6:34:31 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:34:31 PM","9/18/2022, 6:34:32 PM"
Staff 19,"15.558,18.154","9/18/2022, 6:34:32 PM","9/18/2022, 6:34:39 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:34:39 PM","9/18/2022, 6:34:42 PM"
Staff 19,"15.458,17.989","9/18/2022, 6:34:42 PM","9/18/2022, 6:34:48 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:34:48 PM","9/18/2022, 6:34:55 PM"
Staff 19,"15.465,17.98","9/18/2022, 6:34:55 PM","9/18/2022, 6:35:01 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:35:01 PM","9/18/2022, 6:35:08 PM"
Staff 19,"15.457,18.006","9/18/2022, 6:35:08 PM","9/18/2022, 6:35:09 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:35:09 PM","9/18/2022, 6:35:27 PM"
Staff 19,"15.43,17.927","9/18/2022, 6:35:27 PM","9/18/2022, 6:35:28 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:35:28 PM","9/18/2022, 6:36:19 PM"
Staff 19,"15.533,17.96","9/18/2022, 6:36:19 PM","9/18/2022, 6:36:20 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:36:20 PM","9/18/2022, 6:36:24 PM"
Staff 19,"15.48,17.972","9/18/2022, 6:36:24 PM","9/18/2022, 6:36:31 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:36:31 PM","9/18/2022, 6:37:12 PM"
Staff 19,"15.393,18.004","9/18/2022, 6:37:12 PM","9/18/2022, 6:37:14 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:37:14 PM","9/18/2022, 6:37:46 PM"
Staff 19,"15.465,17.997","9/18/2022, 6:37:46 PM","9/18/2022, 6:38:04 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:38:04 PM","9/18/2022, 6:38:09 PM"
Staff 19,"15.505,17.973","9/18/2022, 6:38:09 PM","9/18/2022, 6:38:15 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:38:15 PM","9/18/2022, 6:39:11 PM"
Staff 19,"15.476,17.974","9/18/2022, 6:39:11 PM","9/18/2022, 6:39:15 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:39:15 PM","9/18/2022, 6:39:19 PM"
Staff 19,"15.378,17.944","9/18/2022, 6:39:19 PM","9/18/2022, 6:39:20 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:39:20 PM","9/18/2022, 6:39:33 PM"
Staff 19,"15.418,17.957","9/18/2022, 6:39:33 PM","9/18/2022, 6:39:35 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:39:35 PM","9/18/2022, 6:40:34 PM"
Staff 19,"15.418,17.959","9/18/2022, 6:40:34 PM","9/18/2022, 6:40:35 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:40:35 PM","9/18/2022, 6:40:58 PM"
Staff 19,"15.429,17.921","9/18/2022, 6:40:58 PM","9/18/2022, 6:40:59 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:40:59 PM","9/18/2022, 6:41:02 PM"
Staff 19,"15.429,17.925","9/18/2022, 6:41:02 PM","9/18/2022, 6:41:03 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:41:03 PM","9/18/2022, 6:41:05 PM"
Staff 19,"15.466,17.998","9/18/2022, 6:41:05 PM","9/18/2022, 6:41:09 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:41:09 PM","9/18/2022, 6:41:10 PM"
Staff 19,"15.533,18.01","9/18/2022, 6:41:10 PM","9/18/2022, 6:41:16 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:41:16 PM","9/18/2022, 6:41:37 PM"
Staff 19,"15.467,18.019","9/18/2022, 6:41:37 PM","9/18/2022, 6:41:41 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:41:41 PM","9/18/2022, 6:43:40 PM"
Staff 19,"15.425,17.971","9/18/2022, 6:43:40 PM","9/18/2022, 6:43:42 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:43:42 PM","9/18/2022, 6:43:48 PM"
Staff 19,"15.439,18.006","9/18/2022, 6:43:48 PM","9/18/2022, 6:43:53 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:43:53 PM","9/18/2022, 6:43:58 PM"
Staff 19,"15.467,17.926","9/18/2022, 6:43:58 PM","9/18/2022, 6:43:58 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:43:58 PM","9/18/2022, 6:44:00 PM"
Staff 19,"15.432,17.965","9/18/2022, 6:44:00 PM","9/18/2022, 6:44:03 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:44:03 PM","9/18/2022, 6:44:38 PM"
Staff 19,"15.455,17.962","9/18/2022, 6:44:38 PM","9/18/2022, 6:44:46 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:44:46 PM","9/18/2022, 6:44:49 PM"
Staff 19,"15.467,17.96","9/18/2022, 6:44:49 PM","9/18/2022, 6:44:56 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:44:56 PM","9/18/2022, 6:45:56 PM"
Staff 19,"15.455,18.007","9/18/2022, 6:45:56 PM","9/18/2022, 6:46:12 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:46:12 PM","9/18/2022, 6:46:14 PM"
Staff 19,"15.552,17.977","9/18/2022, 6:46:14 PM","9/18/2022, 6:46:19 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:46:19 PM","9/18/2022, 6:46:21 PM"
Staff 19,"15.42,18.017","9/18/2022, 6:46:21 PM","9/18/2022, 6:46:24 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:46:24 PM","9/18/2022, 6:46:36 PM"
Staff 19,"15.568,18.074","9/18/2022, 6:46:36 PM","9/18/2022, 6:46:40 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:46:40 PM","9/18/2022, 6:46:46 PM"
Staff 19,"15.415,17.918","9/18/2022, 6:46:46 PM","9/18/2022, 6:46:46 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:46:46 PM","9/18/2022, 6:47:12 PM"
Staff 19,"15.498,18.027","9/18/2022, 6:47:12 PM","9/18/2022, 6:47:23 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:47:23 PM","9/18/2022, 6:47:24 PM"
Staff 19,"15.461,17.933","9/18/2022, 6:47:24 PM","9/18/2022, 6:47:30 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:47:30 PM","9/18/2022, 6:47:35 PM"
Staff 19,"15.439,18.035","9/18/2022, 6:47:35 PM","9/18/2022, 6:47:37 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:47:37 PM","9/18/2022, 6:47:38 PM"
Staff 19,"15.42,17.954","9/18/2022, 6:47:38 PM","9/18/2022, 6:47:39 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:47:39 PM","9/18/2022, 6:47:42 PM"
Staff 19,"15.422,17.968","9/18/2022, 6:47:42 PM","9/18/2022, 6:47:43 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:47:43 PM","9/18/2022, 6:47:47 PM"
Staff 19,"15.483,17.934","9/18/2022, 6:47:47 PM","9/18/2022, 6:47:48 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:47:48 PM","9/18/2022, 6:47:49 PM"
Staff 19,"15.435,17.94","9/18/2022, 6:47:49 PM","9/18/2022, 6:47:55 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:47:55 PM","9/18/2022, 6:48:32 PM"
Staff 19,"15.466,17.99","9/18/2022, 6:48:32 PM","9/18/2022, 6:48:36 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:48:36 PM","9/18/2022, 6:48:44 PM"
Staff 19,"15.488,17.971","9/18/2022, 6:48:44 PM","9/18/2022, 6:48:47 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:48:47 PM","9/18/2022, 6:48:54 PM"
Staff 19,"15.425,17.977","9/18/2022, 6:48:54 PM","9/18/2022, 6:48:56 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:48:56 PM","9/18/2022, 6:49:00 PM"
Staff 19,"15.36,17.955","9/18/2022, 6:49:00 PM","9/18/2022, 6:49:05 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:49:05 PM","9/18/2022, 6:49:07 PM"
Staff 19,"15.5,18.048","9/18/2022, 6:49:07 PM","9/18/2022, 6:49:11 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:49:11 PM","9/18/2022, 6:49:32 PM"
Staff 19,"15.489,17.945","9/18/2022, 6:49:32 PM","9/18/2022, 6:49:33 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:49:33 PM","9/18/2022, 6:49:51 PM"
Staff 19,"15.43,17.928","9/18/2022, 6:49:51 PM","9/18/2022, 6:49:51 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:49:51 PM","9/18/2022, 6:50:06 PM"
Staff 19,"15.393,17.94","9/18/2022, 6:50:06 PM","9/18/2022, 6:50:06 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:50:06 PM","9/18/2022, 6:50:09 PM"
Staff 19,"15.39,17.965","9/18/2022, 6:50:09 PM","9/18/2022, 6:50:10 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:50:10 PM","9/18/2022, 6:50:11 PM"
Staff 19,"15.383,17.948","9/18/2022, 6:50:11 PM","9/18/2022, 6:50:45 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:50:45 PM","9/18/2022, 6:50:46 PM"
Staff 19,"15.461,17.996","9/18/2022, 6:50:46 PM","9/18/2022, 6:50:48 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:50:48 PM","9/18/2022, 6:50:51 PM"
Staff 19,"15.537,17.988","9/18/2022, 6:50:51 PM","9/18/2022, 6:50:53 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:50:53 PM","9/18/2022, 6:51:00 PM"
Staff 19,"15.376,17.935","9/18/2022, 6:51:00 PM","9/18/2022, 6:51:30 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:51:30 PM","9/18/2022, 6:51:40 PM"
Staff 19,"15.5,17.924","9/18/2022, 6:51:40 PM","9/18/2022, 6:51:40 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:51:40 PM","9/18/2022, 6:52:03 PM"
Staff 19,"15.387,17.919","9/18/2022, 6:52:03 PM","9/18/2022, 6:52:04 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:52:04 PM","9/18/2022, 6:52:05 PM"
Staff 19,"15.454,17.994","9/18/2022, 6:52:05 PM","9/18/2022, 6:52:07 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:52:07 PM","9/18/2022, 6:52:18 PM"
Staff 19,"15.463,17.963","9/18/2022, 6:52:18 PM","9/18/2022, 6:52:32 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:52:32 PM","9/18/2022, 6:52:44 PM"
Staff 19,"15.41,17.96","9/18/2022, 6:52:44 PM","9/18/2022, 6:52:45 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:52:45 PM","9/18/2022, 6:53:23 PM"
Staff 19,"15.405,17.945","9/18/2022, 6:53:23 PM","9/18/2022, 6:53:25 PM"
Staff 19,"15.486,16.923","9/18/2022, 6:53:25 PM","9/18/2022, 6:53:28 PM"
