Technician,Location,from,to
Staff 10,"20.305,14.677","9/27/2022, 4:39:05 PM","9/27/2022, 4:39:46 PM"
Staff 10,"21.369,14.465","9/27/2022, 4:39:46 PM","9/27/2022, 4:39:55 PM"
Staff 10,"20.125,14.41","9/27/2022, 4:39:55 PM","9/27/2022, 4:40:04 PM"
Staff 10,"21.187,14.549","9/27/2022, 4:40:04 PM","9/27/2022, 4:40:48 PM"
Staff 10,"22.189,14.781","9/27/2022, 4:40:48 PM","9/27/2022, 4:41:09 PM"
Staff 10,"21.17,14.635","9/27/2022, 4:41:09 PM","9/27/2022, 4:41:13 PM"
Staff 10,"20.232,14.852","9/27/2022, 4:41:13 PM","9/27/2022, 4:41:17 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:41:17 PM","9/27/2022, 4:41:18 PM"
Staff 10,"17.944,14.261","9/27/2022, 4:41:18 PM","9/27/2022, 4:41:19 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:41:19 PM","9/27/2022, 4:51:14 PM"
Staff 10,"19.614,14.168","9/27/2022, 4:51:14 PM","9/27/2022, 4:51:17 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:51:17 PM","9/27/2022, 4:51:22 PM"
Staff 10,"19.651,14.176","9/27/2022, 4:51:22 PM","9/27/2022, 4:51:42 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:51:42 PM","9/27/2022, 4:51:45 PM"
Staff 10,"19.619,14.095","9/27/2022, 4:51:45 PM","9/27/2022, 4:52:09 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:52:09 PM","9/27/2022, 4:52:10 PM"
Staff 10,"19.614,14.06","9/27/2022, 4:52:10 PM","9/27/2022, 4:52:32 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:52:32 PM","9/27/2022, 4:52:34 PM"
Staff 10,"19.653,14.086","9/27/2022, 4:52:34 PM","9/27/2022, 4:52:46 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:52:46 PM","9/27/2022, 4:52:47 PM"
Staff 10,"19.631,14.159","9/27/2022, 4:52:47 PM","9/27/2022, 4:53:29 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:53:29 PM","9/27/2022, 4:53:31 PM"
Staff 10,"20.095,13.983","9/27/2022, 4:53:31 PM","9/27/2022, 4:53:44 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:53:44 PM","9/27/2022, 4:53:45 PM"
Staff 10,"19.561,14.128","9/27/2022, 4:53:45 PM","9/27/2022, 4:54:05 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:54:05 PM","9/27/2022, 4:54:06 PM"
Staff 10,"19.643,14.22","9/27/2022, 4:54:06 PM","9/27/2022, 4:54:07 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:54:07 PM","9/27/2022, 4:54:08 PM"
Staff 10,"19.723,14.235","9/27/2022, 4:54:08 PM","9/27/2022, 4:54:27 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:54:27 PM","9/27/2022, 4:54:29 PM"
Staff 10,"19.704,14.203","9/27/2022, 4:54:29 PM","9/27/2022, 4:54:53 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:54:53 PM","9/27/2022, 4:54:56 PM"
Staff 10,"19.495,14.059","9/27/2022, 4:54:56 PM","9/27/2022, 4:55:17 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:55:17 PM","9/27/2022, 4:55:18 PM"
Staff 10,"19.527,14.041","9/27/2022, 4:55:18 PM","9/27/2022, 4:55:37 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:55:37 PM","9/27/2022, 4:55:39 PM"
Staff 10,"19.507,13.916","9/27/2022, 4:55:39 PM","9/27/2022, 4:55:41 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:55:41 PM","9/27/2022, 4:55:42 PM"
Staff 10,"19.589,14.059","9/27/2022, 4:55:42 PM","9/27/2022, 4:56:03 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:56:03 PM","9/27/2022, 4:56:05 PM"
Staff 10,"19.581,14.136","9/27/2022, 4:56:05 PM","9/27/2022, 4:56:20 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:56:20 PM","9/27/2022, 4:56:22 PM"
Staff 10,"19.588,14.109","9/27/2022, 4:56:22 PM","9/27/2022, 4:57:33 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:57:33 PM","9/27/2022, 4:57:35 PM"
Staff 10,"19.632,14.13","9/27/2022, 4:57:35 PM","9/27/2022, 4:57:36 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:57:36 PM","9/27/2022, 4:57:40 PM"
Staff 10,"19.578,14.132","9/27/2022, 4:57:40 PM","9/27/2022, 4:57:49 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:57:49 PM","9/27/2022, 4:57:51 PM"
Staff 10,"19.597,13.984","9/27/2022, 4:57:51 PM","9/27/2022, 4:57:53 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:57:53 PM","9/27/2022, 4:57:55 PM"
Staff 10,"19.642,14.047","9/27/2022, 4:57:55 PM","9/27/2022, 4:58:12 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:58:12 PM","9/27/2022, 4:58:13 PM"
Staff 10,"19.504,13.853","9/27/2022, 4:58:13 PM","9/27/2022, 4:58:31 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:58:31 PM","9/27/2022, 4:58:33 PM"
Staff 10,"19.596,14.121","9/27/2022, 4:58:33 PM","9/27/2022, 4:58:46 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:58:46 PM","9/27/2022, 4:58:47 PM"
Staff 10,"19.638,14.171","9/27/2022, 4:58:47 PM","9/27/2022, 4:59:51 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:59:51 PM","9/27/2022, 4:59:52 PM"
Staff 10,"19.66,14.114","9/27/2022, 4:59:52 PM","9/27/2022, 4:59:58 PM"
Staff 10,"18.832,14.852","9/27/2022, 4:59:58 PM","9/27/2022, 5:00:01 PM"
