Technician,Location,from,to
Staff 16,"20.104,14.623","12/1/2022, 9:37:48 AM","12/1/2022, 9:43:03 AM"
Staff 16,"17.84,13.971","12/1/2022, 9:43:03 AM","12/1/2022, 9:43:07 AM"
Staff 16,"18.832,14.852","12/1/2022, 9:43:07 AM","12/1/2022, 9:43:16 AM"
Staff 16,"19.808,14.388","12/1/2022, 9:43:16 AM","12/1/2022, 9:47:46 AM"
Staff 16,"20.965,14.212","12/1/2022, 9:47:46 AM","12/1/2022, 9:48:14 AM"
Staff 16,"19.936,14.084","12/1/2022, 9:48:14 AM","12/1/2022, 10:00:38 AM"
Staff 16,"19.408,13.2","12/1/2022, 10:00:38 AM","12/1/2022, 10:00:56 AM"
Staff 16,"20.112,14.008","12/1/2022, 10:00:56 AM","12/1/2022, 10:01:20 AM"
Staff 16,"20.504,15.041","12/1/2022, 10:01:20 AM","12/1/2022, 10:02:04 AM"
Staff 16,"18.832,14.852","12/1/2022, 10:02:04 AM","12/1/2022, 10:02:06 AM"
Staff 16,"19.602,14.13","12/1/2022, 10:02:06 AM","12/1/2022, 10:11:08 AM"
Staff 16,"20.751,14.094","12/1/2022, 10:11:08 AM","12/1/2022, 1:46:30 PM"
Staff 16,"19.772,13.756","12/1/2022, 1:46:30 PM","12/1/2022, 2:01:13 PM"
Staff 16,"18.832,14.852","12/1/2022, 2:01:13 PM","12/1/2022, 2:01:16 PM"
Staff 16,"19.556,14.111","12/1/2022, 2:01:16 PM","12/1/2022, 2:02:54 PM"
Staff 16,"20.578,13.925","12/1/2022, 2:02:54 PM","12/1/2022, 2:03:16 PM"
Staff 16,"19.529,13.874","12/1/2022, 2:03:16 PM","12/1/2022, 2:10:25 PM"
Staff 16,"18.832,14.852","12/1/2022, 2:10:25 PM","12/1/2022, 2:10:28 PM"
Staff 16,"19.513,13.624","12/1/2022, 2:10:28 PM","12/1/2022, 2:41:44 PM"
Staff 16,"18.832,14.852","12/1/2022, 2:41:44 PM","12/1/2022, 2:41:52 PM"
Staff 16,"19.625,14.054","12/1/2022, 2:41:52 PM","12/1/2022, 2:42:04 PM"
Staff 16,"18.832,14.852","12/1/2022, 2:42:04 PM","12/1/2022, 2:42:06 PM"
Staff 16,"19.298,13.886","12/1/2022, 2:42:06 PM","12/1/2022, 2:42:07 PM"
Staff 16,"18.832,14.852","12/1/2022, 2:42:07 PM","12/1/2022, 2:42:10 PM"
Staff 16,"19.051,13.751","12/1/2022, 2:42:10 PM","12/1/2022, 2:42:19 PM"
Staff 16,"20.188,13.848","12/1/2022, 2:42:19 PM","12/1/2022, 2:42:45 PM"
Staff 16,"21.186,13.3","12/1/2022, 2:42:45 PM","12/1/2022, 2:43:04 PM"
Staff 16,"20.35,13.854","12/1/2022, 2:43:04 PM","12/1/2022, 2:43:28 PM"
Staff 16,"19.011,13.794","12/1/2022, 2:43:28 PM","12/1/2022, 2:44:10 PM"
Staff 16,"18.832,14.852","12/1/2022, 2:44:10 PM","12/1/2022, 2:44:12 PM"
Staff 16,"18.511,13.695","12/1/2022, 2:44:12 PM","12/1/2022, 2:44:17 PM"
Staff 16,"18.832,14.852","12/1/2022, 2:44:17 PM","12/1/2022, 2:44:30 PM"
Staff 16,"19.572,14.003","12/1/2022, 2:44:30 PM","12/1/2022, 2:44:30 PM"
Staff 16,"18.832,14.852","12/1/2022, 2:44:30 PM","12/1/2022, 2:44:34 PM"
Staff 16,"18.896,13.413","12/1/2022, 2:44:34 PM","12/1/2022, 2:44:48 PM"
Staff 16,"17.86,13.523","12/1/2022, 2:44:48 PM","12/1/2022, 2:45:02 PM"
Staff 16,"18.978,13.503","12/1/2022, 2:45:02 PM","12/1/2022, 2:45:29 PM"
Staff 16,"19.902,14.133","12/1/2022, 2:45:29 PM","12/1/2022, 2:56:54 PM"
Staff 16,"19.327,13.225","12/1/2022, 2:56:54 PM","12/1/2022, 2:57:23 PM"
Staff 16,"19.902,14.051","12/1/2022, 2:57:23 PM","12/1/2022, 3:07:25 PM"
Staff 16,"18.832,14.852","12/1/2022, 3:07:25 PM","12/1/2022, 3:07:27 PM"
Staff 16,"19.861,14.329","12/1/2022, 3:07:27 PM","12/1/2022, 3:07:45 PM"
Staff 16,"18.832,14.852","12/1/2022, 3:07:45 PM","12/1/2022, 3:07:49 PM"
Staff 16,"19.755,13.967","12/1/2022, 3:07:49 PM","12/1/2022, 3:28:16 PM"
Staff 16,"20.828,13.889","12/1/2022, 3:28:16 PM","12/1/2022, 3:28:33 PM"
Staff 16,"19.746,14.113","12/1/2022, 3:28:33 PM","12/1/2022, 3:29:01 PM"
Staff 16,"20.753,13.757","12/1/2022, 3:29:01 PM","12/1/2022, 3:29:28 PM"
Staff 16,"19.558,13.681","12/1/2022, 3:29:28 PM","12/1/2022, 3:43:47 PM"
Staff 16,"20.568,14.205","12/1/2022, 3:43:47 PM","12/1/2022, 3:44:03 PM"
Staff 16,"21.625,13.819","12/1/2022, 3:44:03 PM","12/1/2022, 3:44:33 PM"
Staff 16,"20.263,14.005","12/1/2022, 3:44:33 PM","12/1/2022, 3:45:19 PM"
Staff 16,"21.316,13.837","12/1/2022, 3:45:19 PM","12/1/2022, 3:45:22 PM"
Staff 16,"19.839,14.339","12/1/2022, 3:45:22 PM","12/1/2022, 3:45:35 PM"
Staff 16,"20.756,13.772","12/1/2022, 3:45:35 PM","12/1/2022, 3:47:50 PM"
Staff 16,"18.725,13.627","12/1/2022, 3:47:50 PM","12/1/2022, 3:47:56 PM"
Staff 16,"18.832,14.852","12/1/2022, 3:47:56 PM","12/1/2022, 3:47:59 PM"
Staff 16,"19.451,13.83","12/1/2022, 3:47:59 PM","12/1/2022, 3:48:09 PM"
Staff 16,"20.524,13.764","12/1/2022, 3:48:09 PM","12/1/2022, 3:48:45 PM"
Staff 16,"17.637,13.703","12/1/2022, 3:48:45 PM","12/1/2022, 3:48:55 PM"
Staff 16,"18.832,14.852","12/1/2022, 3:48:55 PM","12/1/2022, 3:48:59 PM"
Staff 16,"19.255,13.908","12/1/2022, 3:48:59 PM","12/1/2022, 3:48:59 PM"
Staff 16,"18.832,14.852","12/1/2022, 3:48:59 PM","12/1/2022, 3:49:02 PM"
Staff 16,"19.354,13.821","12/1/2022, 3:49:02 PM","12/1/2022, 3:49:26 PM"
Staff 16,"20.374,13.78","12/1/2022, 3:49:26 PM","12/1/2022, 3:50:41 PM"
Staff 16,"17.672,13.789","12/1/2022, 3:50:41 PM","12/1/2022, 3:50:54 PM"
Staff 16,"18.832,14.852","12/1/2022, 3:50:54 PM","12/1/2022, 3:50:56 PM"
Staff 16,"18.569,13.843","12/1/2022, 3:50:56 PM","12/1/2022, 3:50:59 PM"
Staff 16,"18.832,14.852","12/1/2022, 3:50:59 PM","12/1/2022, 3:51:02 PM"
Staff 16,"19.028,13.834","12/1/2022, 3:51:02 PM","12/1/2022, 3:51:08 PM"
Staff 16,"18.832,14.852","12/1/2022, 3:51:08 PM","12/1/2022, 3:51:10 PM"
Staff 16,"19.132,13.74","12/1/2022, 3:51:10 PM","12/1/2022, 3:51:26 PM"
Staff 16,"20.218,13.895","12/1/2022, 3:51:26 PM","12/1/2022, 4:02:17 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:02:17 PM","12/1/2022, 4:02:20 PM"
Staff 16,"19.693,14.314","12/1/2022, 4:02:20 PM","12/1/2022, 4:02:22 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:02:22 PM","12/1/2022, 4:02:30 PM"
Staff 16,"19.637,13.955","12/1/2022, 4:02:30 PM","12/1/2022, 4:02:37 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:02:37 PM","12/1/2022, 4:02:42 PM"
Staff 16,"18.457,13.799","12/1/2022, 4:02:42 PM","12/1/2022, 4:02:42 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:02:42 PM","12/1/2022, 4:03:16 PM"
Staff 16,"19.697,13.737","12/1/2022, 4:03:16 PM","12/1/2022, 4:03:24 PM"
Staff 16,"19.658,14.839","12/1/2022, 4:03:24 PM","12/1/2022, 4:03:34 PM"
Staff 16,"20.611,14.257","12/1/2022, 4:03:34 PM","12/1/2022, 4:05:00 PM"
Staff 16,"21.396,13.568","12/1/2022, 4:05:00 PM","12/1/2022, 4:05:02 PM"
Staff 16,"19.803,13.989","12/1/2022, 4:05:02 PM","12/1/2022, 4:05:18 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:05:18 PM","12/1/2022, 4:05:21 PM"
Staff 16,"19.842,15.151","12/1/2022, 4:05:21 PM","12/1/2022, 4:05:29 PM"
Staff 16,"19.947,13.432","12/1/2022, 4:05:29 PM","12/1/2022, 4:05:36 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:05:36 PM","12/1/2022, 4:05:44 PM"
Staff 16,"19.928,15.184","12/1/2022, 4:05:44 PM","12/1/2022, 4:05:55 PM"
Staff 16,"20.634,15.905","12/1/2022, 4:05:55 PM","12/1/2022, 4:06:20 PM"
Staff 16,"19.947,14.982","12/1/2022, 4:06:20 PM","12/1/2022, 4:06:55 PM"
Staff 16,"20.067,13.918","12/1/2022, 4:06:55 PM","12/1/2022, 4:07:03 PM"
Staff 16,"20.039,15.088","12/1/2022, 4:07:03 PM","12/1/2022, 4:07:10 PM"
Staff 16,"20.05,13.842","12/1/2022, 4:07:10 PM","12/1/2022, 4:07:22 PM"
Staff 16,"18.839,13.318","12/1/2022, 4:07:22 PM","12/1/2022, 4:07:28 PM"
Staff 16,"20.121,13.76","12/1/2022, 4:07:28 PM","12/1/2022, 4:08:25 PM"
Staff 16,"18.644,13.405","12/1/2022, 4:08:25 PM","12/1/2022, 4:08:33 PM"
Staff 16,"19.502,13.949","12/1/2022, 4:08:33 PM","12/1/2022, 4:09:43 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:09:43 PM","12/1/2022, 4:09:47 PM"
Staff 16,"19.238,13.786","12/1/2022, 4:09:47 PM","12/1/2022, 4:10:29 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:10:29 PM","12/1/2022, 4:10:33 PM"
Staff 16,"19.617,14.015","12/1/2022, 4:10:33 PM","12/1/2022, 4:10:42 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:10:42 PM","12/1/2022, 4:10:45 PM"
Staff 16,"19.827,14.242","12/1/2022, 4:10:45 PM","12/1/2022, 4:13:39 PM"
Staff 16,"19.325,13.227","12/1/2022, 4:13:39 PM","12/1/2022, 4:14:45 PM"
Staff 16,"19.954,14.129","12/1/2022, 4:14:45 PM","12/1/2022, 4:15:54 PM"
Staff 16,"19.305,13.268","12/1/2022, 4:15:54 PM","12/1/2022, 4:19:38 PM"
Staff 16,"19.939,14.159","12/1/2022, 4:19:38 PM","12/1/2022, 4:22:29 PM"
Staff 16,"19.377,13.249","12/1/2022, 4:22:29 PM","12/1/2022, 4:24:14 PM"
Staff 16,"19.901,14.148","12/1/2022, 4:24:14 PM","12/1/2022, 4:25:47 PM"
Staff 16,"19.311,13.285","12/1/2022, 4:25:47 PM","12/1/2022, 4:41:11 PM"
Staff 16,"20.069,14.231","12/1/2022, 4:41:11 PM","12/1/2022, 4:43:15 PM"
Staff 16,"19.368,13.504","12/1/2022, 4:43:15 PM","12/1/2022, 4:45:46 PM"
Staff 16,"20.061,14.246","12/1/2022, 4:45:46 PM","12/1/2022, 4:47:32 PM"
Staff 16,"20.083,13.117","12/1/2022, 4:47:32 PM","12/1/2022, 4:49:05 PM"
Staff 16,"20.006,14.135","12/1/2022, 4:49:05 PM","12/1/2022, 4:49:59 PM"
Staff 16,"20.003,15.323","12/1/2022, 4:49:59 PM","12/1/2022, 4:50:08 PM"
Staff 16,"19.95,14.094","12/1/2022, 4:50:08 PM","12/1/2022, 4:50:13 PM"
Staff 16,"20.294,15.194","12/1/2022, 4:50:13 PM","12/1/2022, 4:50:29 PM"
Staff 16,"19.823,13.443","12/1/2022, 4:50:29 PM","12/1/2022, 4:50:51 PM"
Staff 16,"19.863,14.582","12/1/2022, 4:50:51 PM","12/1/2022, 4:51:01 PM"
Staff 16,"20.537,15.439","12/1/2022, 4:51:01 PM","12/1/2022, 4:51:12 PM"
Staff 16,"20.055,13.887","12/1/2022, 4:51:12 PM","12/1/2022, 4:52:10 PM"
Staff 16,"20.181,15.183","12/1/2022, 4:52:10 PM","12/1/2022, 4:52:28 PM"
Staff 16,"19.979,14.068","12/1/2022, 4:52:28 PM","12/1/2022, 4:52:32 PM"
Staff 16,"18.832,14.852","12/1/2022, 4:52:32 PM","12/1/2022, 4:52:34 PM"
Staff 16,"19.448,13.915","12/1/2022, 4:52:34 PM","12/1/2022, 4:58:24 PM"
Staff 16,"20.08,14.894","12/1/2022, 4:58:24 PM","12/1/2022, 4:58:27 PM"
Staff 16,"19.833,13.918","12/1/2022, 4:58:27 PM","12/1/2022, 5:19:28 PM"
Staff 16,"18.832,14.852","12/1/2022, 5:19:28 PM","12/1/2022, 5:19:34 PM"
Staff 16,"19.902,14.416","12/1/2022, 5:19:34 PM","12/1/2022, 5:19:49 PM"
Staff 16,"20.899,14.763","12/1/2022, 5:19:49 PM","12/1/2022, 5:28:01 PM"
Staff 16,"18.832,14.852","12/1/2022, 5:28:01 PM","12/1/2022, 5:28:09 PM"
Staff 16,"20.038,14.277","12/1/2022, 5:28:09 PM","12/1/2022, 5:28:19 PM"
Staff 16,"21.129,14.473","12/1/2022, 5:28:19 PM","12/1/2022, 6:21:47 PM"
Staff 16,"18.306,14.496","12/1/2022, 6:21:47 PM","12/1/2022, 6:21:47 PM"
Staff 16,"18.832,14.852","12/1/2022, 6:21:47 PM","12/1/2022, 6:21:57 PM"
Staff 16,"19.931,14.968","12/1/2022, 6:21:57 PM","12/1/2022, 7:56:10 PM"
Staff 16,"20.74,14.347","12/1/2022, 7:56:10 PM","12/1/2022, 7:58:41 PM"
Staff 16,"19.999,15.17","12/1/2022, 7:58:41 PM","12/1/2022, 8:09:47 PM"
Staff 16,"18.832,14.852","12/1/2022, 8:09:47 PM","12/1/2022, 8:09:50 PM"
Staff 16,"19.908,14.698","12/1/2022, 8:09:50 PM","12/1/2022, 8:28:58 PM"
Staff 16,"18.832,14.852","12/1/2022, 8:28:58 PM","12/1/2022, 8:29:00 PM"
Staff 16,"19.973,14.816","12/1/2022, 8:29:00 PM","12/1/2022, 9:23:32 PM"
Staff 16,"18.832,14.852","12/1/2022, 9:23:32 PM","12/1/2022, 9:23:35 PM"
Staff 16,"19.982,14.878","12/1/2022, 9:23:35 PM","12/1/2022, 10:45:55 PM"
Staff 16,"18.832,14.852","12/1/2022, 10:45:55 PM","12/1/2022, 10:45:59 PM"
Staff 16,"20.03,14.765","12/1/2022, 10:45:59 PM","12/1/2022, 11:19:55 PM"
Staff 16,"18.832,14.852","12/1/2022, 11:19:55 PM","12/1/2022, 11:19:57 PM"
Staff 16,"19.891,14.929","12/1/2022, 11:19:57 PM","12/2/2022, 12:37:03 AM"
Staff 16,"18.832,14.852","12/2/2022, 12:37:03 AM","12/2/2022, 12:37:07 AM"
Staff 16,"19.808,14.984","12/2/2022, 12:37:07 AM","12/2/2022, 1:43:20 AM"
Staff 16,"18.832,14.852","12/2/2022, 1:43:20 AM","12/2/2022, 1:43:22 AM"
Staff 16,"19.972,14.807","12/2/2022, 1:43:22 AM","12/2/2022, 2:19:46 AM"
Staff 16,"18.832,14.852","12/2/2022, 2:19:46 AM","12/2/2022, 2:19:49 AM"
Staff 16,"20.011,14.707","12/2/2022, 2:19:49 AM","12/2/2022, 3:14:35 AM"
Staff 16,"18.832,14.852","12/2/2022, 3:14:35 AM","12/2/2022, 3:14:39 AM"
Staff 16,"20.074,14.705","12/2/2022, 3:14:39 AM","12/2/2022, 9:56:35 AM"
Staff 16,"18.832,14.852","12/2/2022, 9:56:35 AM","12/2/2022, 9:56:37 AM"
Staff 16,"19.941,14.657","12/2/2022, 9:56:37 AM","12/2/2022, 10:10:05 AM"
Staff 16,"20.923,14.366","12/2/2022, 10:10:05 AM","12/2/2022, 10:10:52 AM"
Staff 16,"19.97,14.924","12/2/2022, 10:10:52 AM","12/2/2022, 10:10:58 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:10:58 AM","12/2/2022, 10:11:02 AM"
Staff 16,"19.965,14.569","12/2/2022, 10:11:02 AM","12/2/2022, 10:11:53 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:11:53 AM","12/2/2022, 10:11:56 AM"
Staff 16,"19.901,14.692","12/2/2022, 10:11:56 AM","12/2/2022, 10:14:07 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:14:07 AM","12/2/2022, 10:14:09 AM"
Staff 16,"19.962,14.6","12/2/2022, 10:14:09 AM","12/2/2022, 10:14:11 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:14:11 AM","12/2/2022, 10:14:14 AM"
Staff 16,"19.9,14.607","12/2/2022, 10:14:14 AM","12/2/2022, 10:14:19 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:14:19 AM","12/2/2022, 10:14:21 AM"
Staff 16,"19.899,14.587","12/2/2022, 10:14:21 AM","12/2/2022, 10:14:43 AM"
Staff 16,"20.898,14.377","12/2/2022, 10:14:43 AM","12/2/2022, 10:15:30 AM"
Staff 16,"19.835,14.953","12/2/2022, 10:15:30 AM","12/2/2022, 10:15:52 AM"
Staff 16,"20.668,14.396","12/2/2022, 10:15:52 AM","12/2/2022, 10:16:35 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:16:35 AM","12/2/2022, 10:16:38 AM"
Staff 16,"19.964,14.687","12/2/2022, 10:16:38 AM","12/2/2022, 10:17:22 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:17:22 AM","12/2/2022, 10:17:24 AM"
Staff 16,"19.963,14.613","12/2/2022, 10:17:24 AM","12/2/2022, 10:18:12 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:18:12 AM","12/2/2022, 10:18:16 AM"
Staff 16,"19.951,14.483","12/2/2022, 10:18:16 AM","12/2/2022, 10:18:19 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:18:19 AM","12/2/2022, 10:18:21 AM"
Staff 16,"20.005,14.623","12/2/2022, 10:18:21 AM","12/2/2022, 10:19:06 AM"
Staff 16,"20.982,14.375","12/2/2022, 10:19:06 AM","12/2/2022, 10:19:52 AM"
Staff 16,"19.999,14.832","12/2/2022, 10:19:52 AM","12/2/2022, 10:20:12 AM"
Staff 16,"20.892,14.352","12/2/2022, 10:20:12 AM","12/2/2022, 10:20:37 AM"
Staff 16,"19.806,14.599","12/2/2022, 10:20:37 AM","12/2/2022, 10:21:10 AM"
Staff 16,"20.817,14.369","12/2/2022, 10:21:10 AM","12/2/2022, 10:21:22 AM"
Staff 16,"19.888,14.919","12/2/2022, 10:21:22 AM","12/2/2022, 10:21:36 AM"
Staff 16,"20.751,14.404","12/2/2022, 10:21:36 AM","12/2/2022, 10:21:48 AM"
Staff 16,"19.855,14.916","12/2/2022, 10:21:48 AM","12/2/2022, 10:22:04 AM"
Staff 16,"20.718,14.406","12/2/2022, 10:22:04 AM","12/2/2022, 10:22:17 AM"
Staff 16,"19.799,15.088","12/2/2022, 10:22:17 AM","12/2/2022, 10:22:24 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:22:24 AM","12/2/2022, 10:22:26 AM"
Staff 16,"19.943,14.576","12/2/2022, 10:22:26 AM","12/2/2022, 10:22:26 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:22:26 AM","12/2/2022, 10:22:29 AM"
Staff 16,"19.963,14.656","12/2/2022, 10:22:29 AM","12/2/2022, 10:24:11 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:24:11 AM","12/2/2022, 10:24:13 AM"
Staff 16,"20.071,14.485","12/2/2022, 10:24:13 AM","12/2/2022, 10:24:19 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:24:19 AM","12/2/2022, 10:24:23 AM"
Staff 16,"20.043,14.601","12/2/2022, 10:24:23 AM","12/2/2022, 10:24:30 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:24:30 AM","12/2/2022, 10:24:33 AM"
Staff 16,"19.927,14.583","12/2/2022, 10:24:33 AM","12/2/2022, 10:24:58 AM"
Staff 16,"20.908,14.386","12/2/2022, 10:24:58 AM","12/2/2022, 10:25:11 AM"
Staff 16,"20.053,14.968","12/2/2022, 10:25:11 AM","12/2/2022, 10:25:29 AM"
Staff 16,"20.883,14.409","12/2/2022, 10:25:29 AM","12/2/2022, 10:25:51 AM"
Staff 16,"19.845,14.947","12/2/2022, 10:25:51 AM","12/2/2022, 10:25:52 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:25:52 AM","12/2/2022, 10:25:55 AM"
Staff 16,"19.887,14.601","12/2/2022, 10:25:55 AM","12/2/2022, 10:27:06 AM"
Staff 16,"20.911,14.438","12/2/2022, 10:27:06 AM","12/2/2022, 10:27:56 AM"
Staff 16,"19.93,14.822","12/2/2022, 10:27:56 AM","12/2/2022, 10:28:02 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:28:02 AM","12/2/2022, 10:28:05 AM"
Staff 16,"19.843,14.457","12/2/2022, 10:28:05 AM","12/2/2022, 10:33:51 AM"
Staff 16,"20.88,14.467","12/2/2022, 10:33:51 AM","12/2/2022, 10:34:45 AM"
Staff 16,"19.921,14.793","12/2/2022, 10:34:45 AM","12/2/2022, 10:35:31 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:35:31 AM","12/2/2022, 10:35:34 AM"
Staff 16,"19.931,14.571","12/2/2022, 10:35:34 AM","12/2/2022, 10:35:34 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:35:34 AM","12/2/2022, 10:35:38 AM"
Staff 16,"19.895,14.505","12/2/2022, 10:35:38 AM","12/2/2022, 10:35:47 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:35:47 AM","12/2/2022, 10:35:49 AM"
Staff 16,"19.906,14.583","12/2/2022, 10:35:49 AM","12/2/2022, 10:35:51 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:35:51 AM","12/2/2022, 10:35:54 AM"
Staff 16,"19.843,14.663","12/2/2022, 10:35:54 AM","12/2/2022, 10:35:57 AM"
Staff 16,"18.832,14.852","12/2/2022, 10:35:57 AM","12/2/2022, 10:36:01 AM"
Staff 16,"19.865,14.513","12/2/2022, 10:36:01 AM","12/2/2022, 10:36:57 AM"
