Technician,Location,from,to
Staff 16,"19.825,13.917","12/1/2022, 12:02:20 AM","12/1/2022, 12:08:06 AM"
Staff 16,"20.627,14.6","12/1/2022, 12:08:06 AM","12/1/2022, 12:09:20 AM"
Staff 16,"19.76,13.854","12/1/2022, 12:09:20 AM","12/1/2022, 12:19:22 AM"
Staff 16,"20.687,14.354","12/1/2022, 12:19:22 AM","12/1/2022, 12:25:26 AM"
Staff 16,"19.901,13.645","12/1/2022, 12:25:26 AM","12/1/2022, 12:35:31 AM"
Staff 16,"20.247,14.75","12/1/2022, 12:35:31 AM","12/1/2022, 12:36:12 AM"
Staff 16,"18.832,14.852","12/1/2022, 12:36:12 AM","12/1/2022, 12:36:14 AM"
Staff 16,"19.789,14.161","12/1/2022, 12:36:14 AM","12/1/2022, 12:59:40 AM"
Staff 16,"20.873,14.19","12/1/2022, 12:59:40 AM","12/1/2022, 1:01:18 AM"
Staff 16,"19.867,13.884","12/1/2022, 1:01:18 AM","12/1/2022, 1:05:27 AM"
Staff 16,"20.232,14.848","12/1/2022, 1:05:27 AM","12/1/2022, 1:06:31 AM"
Staff 16,"19.621,13.794","12/1/2022, 1:06:31 AM","12/1/2022, 1:06:56 AM"
Staff 16,"20.245,14.661","12/1/2022, 1:06:56 AM","12/1/2022, 1:15:01 AM"
Staff 16,"19.711,13.794","12/1/2022, 1:15:01 AM","12/1/2022, 1:22:12 AM"
Staff 16,"20.917,14.276","12/1/2022, 1:22:12 AM","12/1/2022, 1:22:40 AM"
Staff 16,"19.93,14.093","12/1/2022, 1:22:40 AM","12/1/2022, 1:31:37 AM"
Staff 16,"20.919,14.445","12/1/2022, 1:31:37 AM","12/1/2022, 1:31:40 AM"
Staff 16,"20.063,13.827","12/1/2022, 1:31:40 AM","12/1/2022, 1:43:45 AM"
Staff 16,"20.907,14.396","12/1/2022, 1:43:45 AM","12/1/2022, 1:44:30 AM"
Staff 16,"19.955,14.072","12/1/2022, 1:44:30 AM","12/1/2022, 2:43:24 AM"
Staff 16,"18.816,14.053","12/1/2022, 2:43:24 AM","12/1/2022, 2:43:26 AM"
Staff 16,"18.832,14.852","12/1/2022, 2:43:26 AM","12/1/2022, 2:43:32 AM"
Staff 16,"19.62,13.832","12/1/2022, 2:43:32 AM","12/1/2022, 2:57:58 AM"
Staff 16,"20.204,14.657","12/1/2022, 2:57:58 AM","12/1/2022, 3:14:53 AM"
Staff 16,"19.771,13.69","12/1/2022, 3:14:53 AM","12/1/2022, 3:15:25 AM"
Staff 16,"20.171,14.619","12/1/2022, 3:15:25 AM","12/1/2022, 3:27:01 AM"
Staff 16,"19.722,13.616","12/1/2022, 3:27:01 AM","12/1/2022, 3:27:16 AM"
Staff 16,"20.132,14.565","12/1/2022, 3:27:16 AM","12/1/2022, 4:48:18 AM"
Staff 16,"18.112,13.841","12/1/2022, 4:48:18 AM","12/1/2022, 4:48:24 AM"
Staff 16,"19.119,14.115","12/1/2022, 4:48:24 AM","12/1/2022, 4:48:28 AM"
Staff 16,"18.832,14.852","12/1/2022, 4:48:28 AM","12/1/2022, 4:48:31 AM"
Staff 16,"19.662,14.04","12/1/2022, 4:48:31 AM","12/1/2022, 5:06:55 AM"
Staff 16,"20.237,14.893","12/1/2022, 5:06:55 AM","12/1/2022, 5:07:05 AM"
Staff 16,"19.944,13.619","12/1/2022, 5:07:05 AM","12/1/2022, 5:10:28 AM"
Staff 16,"20.681,14.404","12/1/2022, 5:10:28 AM","12/1/2022, 5:12:17 AM"
Staff 16,"19.908,13.706","12/1/2022, 5:12:17 AM","12/1/2022, 5:14:30 AM"
Staff 16,"20.408,14.58","12/1/2022, 5:14:30 AM","12/1/2022, 5:15:08 AM"
Staff 16,"19.8,13.769","12/1/2022, 5:15:08 AM","12/1/2022, 5:50:11 AM"
Staff 16,"20.106,14.825","12/1/2022, 5:50:11 AM","12/1/2022, 5:51:11 AM"
Staff 16,"20.144,13.807","12/1/2022, 5:51:11 AM","12/1/2022, 7:23:23 AM"
Staff 16,"19.988,14.799","12/1/2022, 7:23:23 AM","12/1/2022, 7:24:15 AM"
Staff 16,"19.788,13.768","12/1/2022, 7:24:15 AM","12/1/2022, 7:25:46 AM"
Staff 16,"20.221,14.782","12/1/2022, 7:25:46 AM","12/1/2022, 7:27:12 AM"
Staff 16,"19.797,13.737","12/1/2022, 7:27:12 AM","12/1/2022, 7:44:31 AM"
Staff 16,"20.889,14.419","12/1/2022, 7:44:31 AM","12/1/2022, 7:44:41 AM"
Staff 16,"19.862,14.091","12/1/2022, 7:44:41 AM","12/1/2022, 9:24:03 AM"
Staff 16,"17.875,13.806","12/1/2022, 9:24:03 AM","12/1/2022, 9:24:16 AM"
Staff 16,"18.986,13.374","12/1/2022, 9:24:16 AM","12/1/2022, 9:24:26 AM"
Staff 16,"19.63,14.334","12/1/2022, 9:24:26 AM","12/1/2022, 9:26:45 AM"
Staff 16,"17.83,13.88","12/1/2022, 9:26:45 AM","12/1/2022, 9:26:46 AM"
Staff 16,"18.832,14.852","12/1/2022, 9:26:46 AM","12/1/2022, 9:26:59 AM"
Staff 16,"19.533,13.915","12/1/2022, 9:26:59 AM","12/1/2022, 9:28:04 AM"
Staff 16,"20.366,14.576","12/1/2022, 9:28:04 AM","12/1/2022, 9:32:18 AM"
Staff 16,"20.062,13.594","12/1/2022, 9:32:18 AM","12/1/2022, 9:37:48 AM"
